时间,币价,挖矿难度
"2017-03-21 00:00","43.14509201","201632478166423.4000000000",
"2017-03-22 00:00","42.34205627","210879379315989.8000000000",
"2017-03-23 00:00","43.67842865","210999646759843.1200000000",
"2017-03-24 00:00","53.10752487","211204752176513.8000000000",
"2017-03-25 00:00","51.25004578","221174912282081.7800000000",
"2017-03-26 00:00","50.52159882","231656619439152.6200000000",
"2017-03-27 00:00","49.66692734","229548649836159.8000000000",
"2017-03-28 00:00","50.77490234","232979944812621.4400000000",
"2017-03-29 00:00","53.12607574","236982475458292.7800000000",
"2017-03-30 00:00","52.20576096","240138785731438.8400000000",
"2017-03-31 00:00","50.03727722","239048359912160.2500000000",
"2017-04-01 00:00","50.69946289","242037399679020.5300000000",
"2017-04-02 00:00","48.74874878","225777719718996.7200000000",
"2017-04-03 00:00","44.35643387","240588165762569.9700000000",
"2017-04-04 00:00","44.641922","246279464732202.6000000000",
"2017-04-05 00:00","45.30395126","248619327505940.7200000000",
"2017-04-06 00:00","43.24213791","249574617569974.5000000000",
"2017-04-07 00:00","42.16263199","252484807725221.9400000000",
"2017-04-08 00:00","44.30706787","253175099941209.5600000000",
"2017-04-09 00:00","43.26697159","255973416950689.1600000000",
"2017-04-10 00:00","43.43519592","261036955773059.4400000000",
"2017-04-11 00:00","43.40720367","260942044851417.4000000000",
"2017-04-12 00:00","46.28725052","254806154901492.7800000000",
"2017-04-13 00:00","50.21942139","271575492216009.1000000000",
"2017-04-14 00:00","47.57413483","272397471548558.5300000000",
"2017-04-15 00:00","49.10149002","272581329412856.7800000000",
"2017-04-16 00:00","48.71854782","275532146092829.9000000000",
"2017-04-17 00:00","48.30456924","282740029974546.0000000000",
"2017-04-18 00:00","50.70747375","288750952023604.4000000000",
"2017-04-19 00:00","48.30527878","283972104824256.5000000000",
"2017-04-20 00:00","49.6721611","290822998187444.9400000000",
"2017-04-21 00:00","48.22444916","297111347846252.2000000000",
"2017-04-22 00:00","48.55300522","298451239799072.0600000000",
"2017-04-23 00:00","48.48928833","295211522661634.2000000000",
"2017-04-24 00:00","50.03145981","298308056717679.2500000000",
"2017-04-25 00:00","49.89123154","308930766668085.0600000000",
"2017-04-26 00:00","52.72032928","313695645588521.8000000000",
"2017-04-27 00:00","62.16772842","328632682258862.5000000000",
"2017-04-28 00:00","70.15920258","342092419789233.8000000000",
"2017-04-29 00:00","68.37693024","332583752337351.7000000000",
"2017-04-30 00:00","79.02124786","336173059130426.7500000000",
"2017-05-01 00:00","76.29698181","335199972198663.2500000000",
"2017-05-02 00:00","77.26377869","339479348814689.0600000000",
"2017-05-03 00:00","79.7181778","336420648319466.7500000000",
"2017-05-04 00:00","96.98135376","349788393854314.1000000000",
"2017-05-05 00:00","94.39853668","349259962790711.3000000000",
"2017-05-06 00:00","97.81348419","353593236177735.9000000000",
"2017-05-07 00:00","94.00731659","353828372751230.8000000000",
"2017-05-08 00:00","91.42037964","365569658179925.9000000000",
"2017-05-09 00:00","91.16291809","363678633592458.1000000000",
"2017-05-10 00:00","89.52485657","369261726304116.9400000000",
"2017-05-11 00:00","89.87966919","379250622293431.0600000000",
"2017-05-12 00:00","88.65538025","378491084797440.0000000000",
"2017-05-13 00:00","90.83539581","404778572992014.7500000000",
"2017-05-14 00:00","90.7865448","414047745749014.3000000000",
"2017-05-15 00:00","92.4148941","417079615832905.7500000000",
"2017-05-16 00:00","89.43795013","408103955235523.4000000000",
"2017-05-17 00:00","89.86037445","414448297046939.0000000000",
"2017-05-18 00:00","96.90627289","431650025953196.2000000000",
"2017-05-19 00:00","129.52746582","439714321376462.0600000000",
"2017-05-20 00:00","126.5211792","451327099500959.5600000000",
"2017-05-21 00:00","157.93659973","463102600090254.1000000000",
"2017-05-22 00:00","174.2613678","448716876168001.8000000000",
"2017-05-23 00:00","181.95245361","458978033229235.5000000000",
"2017-05-24 00:00","190.04576111","457711429093306.1000000000",
"2017-05-25 00:00","174.44638062","456542217590236.9000000000",
"2017-05-26 00:00","160.40330505","473267747835341.6000000000",
"2017-05-27 00:00","157.75782776","469177108436930.9000000000",
"2017-05-28 00:00","170.51091003","487713080394876.0600000000",
"2017-05-29 00:00","194.90939331","513216553999242.9400000000",
"2017-05-30 00:00","231.91082764","519723790251369.2000000000",
"2017-05-31 00:00","230.66937256","561001177690433.9000000000",
"2017-06-01 00:00","222.23916626","574505829451122.0000000000",
