时间,币价,平均算力
"2019-12-28 00:00","130.4864695472","149818327576926.0000000000",
"2019-12-29 00:00","130.5129009881","149579105471512.0000000000",
"2019-12-31 00:00","131.6997645809","147433943167817.0000000000",
"2020-01-02 00:00","131.8208559855","128133420565259.0000000000",
"2020-01-03 00:00","133.6814568095","154713830258512.0000000000",
"2020-01-04 00:00","136.4924868072","160711785047101.0000000000",
"2020-01-05 00:00","140.7233801544","151920487772147.0000000000",
"2020-01-06 00:00","140.0718220733","157299053677775.0000000000",
"2020-01-07 00:00","141.6048511256","159681876617012.0000000000",
"2020-01-08 00:00","138.5377453452","153207592104589.0000000000",
"2020-01-09 00:00","141.0870388458","165532069926300.0000000000",
"2020-01-10 00:00","142.2446844927","166705689832830.0000000000",
"2020-01-11 00:00","144.2253166574","165171163226410.0000000000",
"2020-01-12 00:00","142.8701689522","156588388278598.0000000000",
"2020-01-13 00:00","156.0480108264","157180857430516.0000000000",
"2020-01-14 00:00","164.6656401564","167671788705440.0000000000",
"2020-01-15 00:00","162.9771638172","160495824111109.0000000000",
"2020-01-16 00:00","167.030024845","155131736043478.0000000000",
"2020-01-17 00:00","175.0948899716","158659920428907.0000000000",
"2020-01-18 00:00","164.992688805","158363249343019.0000000000",
"2020-01-19 00:00","166.1996119322","159480165955896.0000000000",
"2020-01-20 00:00","168.4096077223","160023847163789.0000000000",
"2020-01-21 00:00","167.4856539051","159783882823563.0000000000",
"2020-01-22 00:00","163.5506234938","157453836051225.0000000000",
"2020-01-23 00:00","161.8565313406","159907569169548.0000000000",
"2020-01-24 00:00","160.1775533281","159343059396466.0000000000",
"2020-01-25 00:00","163.6269357056","156495735129082.0000000000",
"2020-01-26 00:00","169.9204713243","157188824514088.0000000000",
"2020-01-27 00:00","172.0659407615","156031545883975.0000000000",
"2020-01-28 00:00","175.8985666108","153251163548386.0000000000",
"2020-01-29 00:00","176.4541976204","162758369054939.0000000000",
"2020-01-30 00:00","178.2622365555","152949072607041.0000000000",
"2020-01-31 00:00","182.1871345782","155295619182222.0000000000",
"2020-02-01 00:00","191.3723609315","153407576096394.0000000000",
"2020-02-02 00:00","188.7477917822","160897817191736.0000000000",
"2020-02-06 00:00","221.5966176496","158863076037161.0000000000",
"2020-02-07 00:00","225.7852622358","159356927750158.0000000000",
"2020-02-08 00:00","224.6919368266","160467066902327.0000000000",
"2020-02-09 00:00","224.4097002027","157220564049231.0000000000",
"2020-02-10 00:00","226.7144123808","171011134920330.0000000000",
"2020-02-11 00:00","252.3383455718","171986835452540.0000000000",
"2020-02-12 00:00","269.1872064999","174675732827110.0000000000",
"2020-02-13 00:00","272.7336897697","176201528524470.0000000000",
"2020-02-14 00:00","280.6193775496","175946280899730.0000000000",
"2020-02-15 00:00","259.0722243358","177476604938540.0000000000",
"2020-02-16 00:00","250.6479789873","177050956540340.0000000000",
"2020-02-17 00:00","272.529760148","178177683420400.0000000000",
"2020-02-18 00:00","279.9021579842","186385029422640.0000000000",
"2020-02-19 00:00","256.8091552115","179714645347250.0000000000",
"2020-02-20 00:00","263.7995160674","176900179399220.0000000000",
"2020-02-21 00:00","260.7527994281","181621796436010.0000000000",
"2020-02-22 00:00","270.1947250783","180192099144030.0000000000",
"2020-02-23 00:00","268.5505450578","182377202607460.0000000000",
"2020-02-24 00:00","252.120796068","177634891669350.0000000000",
"2020-02-25 00:00","226.8888425998","179981940927510.0000000000",
"2020-02-26 00:00","232.3815630038","186066951634790.0000000000",
"2020-02-27 00:00","223.8656865874","181939700244410.0000000000",
"2020-02-28 00:00","223.8144441386","182080448907740.0000000000",
"2020-02-29 00:00","221.3874009364","179996774604260.0000000000",
"2020-03-01 00:00","227.7117612323","178672588002770.0000000000",
"2020-03-02 00:00","223.5910877873","180459811635950.0000000000",
"2020-03-03 00:00","223.4679105935","182749993304730.0000000000",
"2020-03-04 00:00","229.5960135008","181084372550300.0000000000",
"2020-03-05 00:00","236.9070410478","178351785191880.0000000000",
"2020-03-06 00:00","245.3268078936","181279862284150.0000000000",
"2020-03-07 00:00","216.7978706105","185883854767700.0000000000",
"2020-03-08 00:00","194.8924014923","181831711521880.0000000000",
"2020-03-09 00:00","202.4584439172","182245764571390.0000000000",
"2020-03-10 00:00","192.2129344683","179466045068780.0000000000",
"2020-03-11 00:00","139.816269029","181886101731627.0000000000",
"2020-03-12 00:00","122.8524312309","175556468305680.0000000000",
"2020-03-13 00:00","126.6898441068","172705285457770.0000000000",
"2020-03-14 00:00","125.3182346066","173957537139630.0000000000",
"2020-03-15 00:00","114.581581606","174898020150160.0000000000",
"2020-03-16 00:00","116.5784646731","170002407579510.0000000000",
"2020-03-17 00:00","115.9722417135","174361562499430.0000000000",
"2020-03-18 00:00","126.5319632489","174889779889190.0000000000",
"2020-03-19 00:00","141.7850499075","174036866631350.0000000000",
"2020-03-20 00:00","132.6466683126","180097099937440.0000000000",
"2020-03-21 00:00","128.0316606908","171182448828860.0000000000",
"2020-03-22 00:00","129.0334864191","175185836376790.0000000000",
"2020-03-23 00:00","135.5541654715","177949719199380.0000000000",
"2020-03-24 00:00","136.0426481348","175649892045200.0000000000",
"2020-03-25 00:00","134.2703803665","176090401429740.0000000000",
"2020-03-26 00:00","135.6715210851","176478546232670.0000000000",
"2020-03-27 00:00","128.5327613077","175746811185000.0000000000",
"2020-03-28 00:00","128.8204225913","179538328367800.0000000000",
"2020-03-29 00:00","133.0551208447","178534064251520.0000000000",
"2020-03-30 00:00","132.577702934","173936776217010.0000000000",
