时间,币价,链上交易量
"2018-07-16 00:00","480.6579895","1782157.5935609800",
"2018-07-17 00:00","501.00201416","2030429.7561824200",
"2018-07-18 00:00","480.51300049","1657529.4787112700",
"2018-07-19 00:00","469.61898804","1761511.9319941200",
"2018-07-20 00:00","450.69799805","1081733.4690242500",
"2018-07-21 00:00","462.43600464","1035702.1090738800",
"2018-07-22 00:00","459.65701294","1632628.7064551100",
"2018-07-23 00:00","450.85299683","1731677.7616956600",
"2018-07-24 00:00","479.37298584","1520782.8084552800",
"2018-07-25 00:00","472.49301147","1234565.6432042600",
"2018-07-26 00:00","464.0369873","1359218.6181436800",
"2018-07-27 00:00","469.66598511","793398.6279591700",
"2018-07-28 00:00","466.89801025","767714.9724617200",
"2018-07-29 00:00","466.66500854","1558135.6598984000",
"2018-07-30 00:00","457.08087158","2837109.8634471300",
"2018-07-31 00:00","433.86654663","1512449.4182283500",
"2018-08-01 00:00","420.74694824","1583880.2349282500",
"2018-08-02 00:00","412.62121582","1317989.5800107400",
"2018-08-03 00:00","418.26171875","943641.1626833300",
"2018-08-04 00:00","407.25244141","887722.3049043100",
"2018-08-05 00:00","410.51611328","1223238.0711197400",
"2018-08-06 00:00","406.65835571","1374667.6195456600",
"2018-08-07 00:00","380.21502686","2065127.6976095300",
"2018-08-08 00:00","356.61303711","1609584.6000587500",
"2018-08-09 00:00","365.58779907","1821250.7283139700",
"2018-08-10 00:00","334.17645264","1654097.4222975300",
"2018-08-11 00:00","322.11151123","1011181.2737052100",
"2018-08-12 00:00","319.56973267","2493437.1306528700",
"2018-08-13 00:00","286.49536133","3134811.3508007800",
"2018-08-14 00:00","278.93161011","2331173.2873615700",
"2018-08-15 00:00","282.36367798","1541521.7054737100",
"2018-08-16 00:00","288.04647827","1866785.0514430000",
"2018-08-17 00:00","315.72894287","1111567.2383080100",
"2018-08-18 00:00","295.81170654","786372.3422543400",
"2018-08-19 00:00","300.83383179","1454266.8356221600",
"2018-08-20 00:00","274.31512451","1468703.7529284700",
"2018-08-21 00:00","281.94393921","1736364.9010384800",
"2018-08-22 00:00","271.34115601","1464949.5541125300",
"2018-08-23 00:00","277.10388184","1424756.6094793000",
"2018-08-24 00:00","282.9671936","1076418.6530998700",
"2018-08-25 00:00","279.64599609","998773.8750009800",
"2018-08-26 00:00","275.19708252","1616299.9783261000",
"2018-08-27 00:00","285.603302","1454788.1604269900",
"2018-08-28 00:00","296.4994812","1559279.0349087400",
"2018-08-29 00:00","289.31240845","1423190.0935373900",
"2018-08-30 00:00","284.10546875","1503419.0686312900",
"2018-08-31 00:00","283.00408936","1145039.4654422100",
"2018-09-01 00:00","295.34133911","911774.2358071800",
"2018-09-02 00:00","294.3706665","1789921.6648858400",
"2018-09-03 00:00","289.25946045","2899220.2136909700",
"2018-09-04 00:00","285.72320557","2466631.7452970200",
"2018-09-05 00:00","232.33119202","3022016.5314600500",
"2018-09-06 00:00","230.21485901","2565296.1457112000",
"2018-09-07 00:00","217.20251465","2104371.7802551300",
"2018-09-08 00:00","197.95074463","2169831.5477683800",
"2018-09-09 00:00","196.9243927","2462209.8669961800",
"2018-09-10 00:00","197.07907104","2458399.1184295500",
"2018-09-11 00:00","185.06646729","3764925.6894698300",
"2018-09-12 00:00","183.33126831","2363923.0842040400",
"2018-09-13 00:00","211.3540802","2134111.6310395800",
"2018-09-14 00:00","211.74893188","1431922.6066385500",
"2018-09-15 00:00","223.0743866","1217624.4262802700",
"2018-09-16 00:00","220.58880615","1943129.2965775100",
"2018-09-17 00:00","197.87472534","1818208.2190401800",
"2018-09-18 00:00","209.97457886","1548035.4995515000",
"2018-09-19 00:00","209.96894836","1888698.9308751800",
"2018-09-20 00:00","224.59100342","2910347.5264773400",
"2018-09-21 00:00","246.58425903","1568293.2685398300",
"2018-09-22 00:00","240.48042297","1382596.8658669000",
"2018-09-23 00:00","244.32952881","1885843.3003317200",
"2018-09-24 00:00","228.72991943","1878448.9153253100",
"2018-09-25 00:00","218.50453186","1845981.4813830400",
"2018-09-26 00:00","215.84741211","1663757.9824372800",
"2018-09-27 00:00","228.49415588","1691587.5463588100",
"2018-09-28 00:00","222.40211487","1426118.3420441600",
"2018-09-29 00:00","231.63473511","1350676.4307715300",
"2018-09-30 00:00","232.84849548","1251000.2508441200",
"2018-10-01 00:00","230.76777649","1094550.5932987500",
"2018-10-02 00:00","227.18087769","1600608.1623198200",
"2018-10-03 00:00","220.48942566","1597171.1004571900",
"2018-10-04 00:00","222.21839905","1478364.7140167700",
"2018-10-05 00:00","227.60064697","1061365.4621160900",
"2018-10-06 00:00","225.11988831","973764.2062370500",
"2018-10-07 00:00","226.11851501","1625401.7139073900",
"2018-10-08 00:00","229.25517273","1419581.4238543200",
"2018-10-09 00:00","227.98153687","1479965.4657212400",
"2018-10-10 00:00","225.76925659","3085627.8793387300",
"2018-10-11 00:00","189.49923706","2018937.0310759600",
"2018-10-12 00:00","196.7272644","1191877.1048444800",
