时间,前100持仓量,前50持仓量,前30持仓量,前10持仓量
"2020-01-19 00:00","36117468.4335705","27812599.319600288","23073867.55597574","14580125.204140043",
"2020-01-20 00:00","36073288.70018166","27781594.7460079","23080950.26376287","14593480.971470635",
"2020-01-21 00:00","36114265.71549782","27795241.19105528","23093040.83076344","14605841.719947318",
"2020-01-22 00:00","36097556.421195745","27776078.777343724","23106148.801823176","14617964.237480856",
"2020-01-23 00:00","36114575.22420269","27757092.42651403","23091210.109240554","14613199.975414528",
"2020-01-24 00:00","36095723.405626826","27748575.539509565","23037654.458798036","14560603.485639388",
"2020-01-25 00:00","36116366.868912525","27757086.0728727","23045262.54729962","14564524.909193436",
"2020-01-26 00:00","36115772.762812525","27777437.070107285","23053032.438994784","14571682.348566882",
"2020-01-27 00:00","36126358.71388262","27797228.90732542","23061539.488522105","14581432.957128521",
"2020-01-28 00:00","36162027.86141936","27825737.62343854","23081876.861626834","14600559.09120821",
"2020-01-29 00:00","36164270.52522096","27829825.231875185","23119375.426175255","14637338.256471995",
"2020-01-30 00:00","36201000.08406822","27859781.416313015","23131208.06114596","14646235.052860122",
"2020-01-31 00:00","36238485.435581364","27873376.68006446","23162377.139306255","14674361.159347529",
"2020-02-01 00:00","36391442.16064645","27948925.237566605","23204109.07021425","14736965.988643134",
"2020-02-02 00:00","36445276.96735796","28020685.94250524","23211675.75340943","14751314.227203622",
"2020-02-03 00:00","36399461.752954714","27958193.23956183","23160169.19059785","14704818.318769105",
"2020-02-04 00:00","36377113.104295574","27961239.108903375","23168170.175411377","14708850.657639705",
"2020-02-05 00:00","36376953.975006364","27992865.724046707","23176889.139897753","14714978.670319917",
"2020-02-06 00:00","36368322.801107265","27962561.533213947","23120744.09159894","14636577.16875639",
"2020-02-07 00:00","36370345.565498285","27984589.615353372","23084515.0592963","14571907.755280353",
"2020-02-08 00:00","36261786.24623636","27830814.878094275","23017388.264719337","14565548.312513327",
"2020-02-09 00:00","36235067.48708174","27752656.61848308","22960271.734338276","14497051.588719832",
"2020-02-10 00:00","36225911.35920866","27745055.722269833","22951630.85057857","14484699.173285484",
"2020-02-11 00:00","36280286.42603192","27773463.007161614","22960804.966939334","14483741.791210856",
"2020-02-12 00:00","36300373.400752954","27782777.3643482","22973367.869858168","14502759.765838992",
"2020-02-13 00:00","36322465.70551464","27767482.377865072","22904515.56412317","14436327.890726961",
"2020-02-14 00:00","36371697.883293","27812607.111094654","22908149.887326397","14437850.028524267",
"2020-02-15 00:00","36351881.575878724","27766206.567491412","22823836.232886966","14366188.316409161",
"2020-02-16 00:00","36407367.029641636","27848820.381011285","22952696.558514718","14472374.562180875",
"2020-02-17 00:00","36524043.5191253","27991350.67078222","23126092.10643446","14629480.609444816",
"2020-02-18 00:00","36520392.82012172","27949765.667912178","23068393.47161679","14596160.196637865",
"2020-02-19 00:00","36382197.57683159","27774232.80293958","22849981.691556733","14359468.057814283",
"2020-02-20 00:00","36367525.18708756","27764534.951907806","22907227.401019283","14306135.160912571",
"2020-02-21 00:00","36361407.16867723","27759687.85671641","22902168.507201165","14235678.15713022",
"2020-02-22 00:00","36338596.608518876","27756488.756310046","22902379.199991353","14221368.245120678",
"2020-02-23 00:00","36336616.817813866","27750905.60393136","22901424.68767264","14257003.22282821",
"2020-02-24 00:00","36342173.43349406","27760982.911841173","22896356.993296284","14260046.763766706",
"2020-02-25 00:00","36424889.13017828","27828498.38920455","22921180.647172313","14271880.659989849",
"2020-02-26 00:00","36473119.51379365","27867127.061768133","22952182.691643536","14299605.564091524",
"2020-02-27 00:00","36564130.137614235","27997871.951974936","23105045.984063935","14459226.522388795",
"2020-02-28 00:00","36702179.49365961","28084752.261466213","23129050.473664183","14464691.191144008",
"2020-02-29 00:00","36668427.61538255","28061272.07596441","23126042.086752057","14466458.15926814",
"2020-03-01 00:00","36728517.290835194","28134632.25671684","23146299.69849143","14453896.078331273",
"2020-03-02 00:00","36787585.60852704","28206529.221048273","23150687.195475355","14440253.4332721",
"2020-03-03 00:00","36783891.68407404","28210008.628318567","23162939.179766227","14480731.265258756",
"2020-03-04 00:00","36814650.150329456","28231970.134141713","23202739.748009317","14486817.519687256",
"2020-03-05 00:00","36784487.896218486","28242074.51132722","23185922.278184388","14497718.480153102",
"2020-03-06 00:00","36718308.72085017","28184474.03824201","23123364.82341526","14522439.250271179",
"2020-03-07 00:00","36695641.28719476","28149876.436201457","23116966.27900515","14541713.667003307",
"2020-03-08 00:00","36731425.23167742","28200186.955965992","23135987.209720116","14551094.656200718",
"2020-03-09 00:00","36940330.7319676","28367851.107759424","23293577.128358807","14677909.34026406",
"2020-03-10 00:00","36879581.47644293","28306824.432433397","23176227.117076673","14596380.235963432",
"2020-03-11 00:00","36975258.31907328","28461089.581880454","23275847.310690522","14661381.377362749",
"2020-03-12 00:00","37459763.39035479","28894209.212103862","23723163.003158286","15029516.304044843",
"2020-03-13 00:00","37233093.7479564","28651654.96699275","23636391.118041996","15210746.762983367",
"2020-03-14 00:00","37397705.58303546","28737041.862487294","23728433.948166717","15201979.933007577",
"2020-03-15 00:00","37209968.93078361","28648617.674887888","23654407.01362651","15130353.464768773",
"2020-03-16 00:00","37342222.47798638","28758604.089121886","23772206.157412138","15257853.156382013",
"2020-03-17 00:00","37209760.8215652","28648814.833813764","23631641.485853955","15115537.61414774",
"2020-03-18 00:00","37610138.43932149","28971218.246303737","23819432.10982718","15108199.26261445",
"2020-03-19 00:00","37575621.615529366","28974823.121097513","23795415.142716482","15124518.118489413",
"2020-03-20 00:00","37631856.21509466","29056292.411251817","23881753.880740512","15247284.574811684",
"2020-03-21 00:00","37755052.889759175","29173073.1015945","23924982.183021862","15247353.812873853",
"2020-03-22 00:00","37802051.923533596","29215047.432008103","23944323.84469608","15258437.142518004",
