时间,币价,持仓量
"2021-05-19 00:00","2908.5140176909","3162903.33545",
"2021-05-20 00:00","2429.4494627696","3162686.844817",
"2021-05-21 00:00","2376.480361376","3162686.844817",
"2021-05-22 00:00","1923.2001979499","3162686.844817",
"2021-05-23 00:00","2499.5136814023","3162037.0627595",
"2021-05-24 00:00","2598.4251981117","3161820.261968",
"2021-05-25 00:00","2743.8216052853","3161603.7713349997",
"2021-05-26 00:00","2808.9406760593","3161387.280702",
"2021-05-27 00:00","2560.3379323587","3161170.7900690003",
"2021-05-28 00:00","2321.8541175825","3161170.7900690003",
"2021-05-29 00:00","2383.4292650166","3161170.7900690003",
"2021-05-30 00:00","2625.3423898329","3161170.7900690003",
"2021-05-31 00:00","2572.5412405293","3160304.827537",
"2021-06-01 00:00","2783.8919616083","3160088.336904",
"2021-06-02 00:00","2791.3752506907","3159871.846271",
"2021-06-03 00:00","2656.5287010042","3159655.3556379997",
"2021-06-04 00:00","2648.6953034606","3159655.3556379997",
"2021-06-05 00:00","2717.3101253008","3159655.3556379997",
"2021-06-06 00:00","2788.0080918723","3159006.1938974997",
"2021-06-07 00:00","2381.0047940861","3158790.013423",
"2021-06-08 00:00","2573.5489221797","3158573.52279",
"2021-06-09 00:00","2504.8327609397","3158357.032157",
"2021-06-10 00:00","2421.8351706649","3158140.8516825",
"2021-06-11 00:00","2390.8306749751","3158140.8516825",
"2021-06-12 00:00","2351.6967922244","3158140.8516825",
"2021-06-13 00:00","2573.7800319308","3157492.0001005",
"2021-06-14 00:00","2550.6338755467","3157275.819626",
"2021-06-15 00:00","2414.6249363187","3157059.328993",
"2021-06-16 00:00","2417.8741877657","3156843.1485185",
"2021-06-17 00:00","2217.8364815344","3156626.968044",
"2021-06-18 00:00","2245.5030706197","3156626.968044",
"2021-06-19 00:00","2115.369684005","3156626.968044",
"2021-06-20 00:00","1987.0091413098","3155978.4266204997",
"2021-06-21 00:00","1855.1670263731","3155762.246146",
"2021-06-22 00:00","1978.8360891967","3155546.0656715",
"2021-06-23 00:00","1991.4570158833","3155329.885197",
"2021-06-24 00:00","1829.6572082741","3155113.7047225",
"2021-06-25 00:00","1776.3433195658","3155113.7047225",
"2021-06-26 00:00","1841.6287155615","3155113.7047225",
"2021-06-27 00:00","2114.3780685172","3154465.4734575",
"2021-06-28 00:00","2216.50792291","3154249.6031415",
"2021-06-29 00:00","2103.3942281724","3154033.422667",
"2021-06-30 00:00","2120.4984278237","3153817.552351",
"2021-07-01 00:00","2117.3168761596","3153601.3718765",
"2021-07-02 00:00","2226.6077969809","3153601.3718765",
"2021-07-03 00:00","2330.2471069614","3153601.3718765",
"2021-07-04 00:00","2211.5147514474","3153601.3718765",
"2021-07-05 00:00","2305.6491253931","3152737.5804540003",
"2021-07-06 00:00","2340.0485091611","3152521.710138",
"2021-07-07 00:00","2175.1577794618","3152305.5296635",
"2021-07-08 00:00","2176.6534966348","3152089.6593475",
"2021-07-09 00:00","2120.2913666526","3152089.6593475",
"2021-07-10 00:00","2144.1145647175","3152089.6593475",
"2021-07-11 00:00","2090.5159399396","3151442.0483994996",
"2021-07-12 00:00","1998.5665738078","3151226.1780835",
"2021-07-13 00:00","1997.6330546892","3151010.3077675",
"2021-07-14 00:00","1917.282811389","3150794.4374515",
"2021-07-15 00:00","1930.6339496736","3150578.8772940002",
"2021-07-16 00:00","1885.2676682805","3150578.8772940002",
"2021-07-17 00:00","1891.6997117835","3150578.8772940002",
"2021-07-18 00:00","1821.6704949003","3149931.5765045",
"2021-07-19 00:00","1809.6746643909","3149715.7061885",
"2021-07-20 00:00","1953.4698385677","3149499.8358724997",
"2021-07-21 00:00","2033.2398608427","3149284.275715",
"2021-07-22 00:00","2050.9849808","3149068.405399",
"2021-07-23 00:00","2155.3187051451","3149068.405399",
"2021-07-24 00:00","2136.7169622146","3149068.405399",
"2021-07-25 00:00","2346.3284525765","3148421.4147679997",
"2021-07-26 00:00","2279.8816413064","3148205.8546105",
"2021-07-27 00:00","2291.3443162149","3147990.2944529997",
"2021-07-28 00:00","2323.1787917174","3147774.7342955",
"2021-07-29 00:00","2347.0534339515","3147559.1741380002",
"2021-07-30 00:00","2458.4847808272","3147559.1741380002",
"2021-07-31 00:00","2584.8379592029","3147559.1741380002",
"2021-08-01 00:00","2638.5910394408","3146912.183507",
"2021-08-02 00:00","2497.9250369281","3146696.6233495",
"2021-08-03 00:00","2674.2422374758","3146481.3733504997",
"2021-08-04 00:00","2764.3028919538","3146265.813193",
"2021-08-05 00:00","2821.3134618508","3146050.2530355",
"2021-08-06 00:00","3083.5703948017","3146050.2530355",
"2021-08-07 00:00","3030.8163844132","3146050.2530355",
"2021-08-08 00:00","3169.6420133002","3145403.8827215",
"2021-08-09 00:00","3120.7204098506","3145188.322564",
"2021-08-10 00:00","3246.1700570261","3144973.072565",
"2021-08-11 00:00","3035.091093467","3144757.5124075",
"2021-08-12 00:00","3214.3778425104","3144542.2624084996",
"2021-08-13 00:00","3270.1782212538","3144542.2624084996",
"2021-08-14 00:00","3156.6365033774","3144542.2624084996",
