时间,币价,发行量
"2019-09-10 00:00","176.460445","105198586.1557300000",
"2019-09-11 00:00","179.712929","105211486.2807300000",
"2019-09-12 00:00","178.422907","105224140.0932300000",
"2019-09-13 00:00","184.276859","105237047.9057300000",
"2019-09-14 00:00","188.059801","105249830.2807300000",
"2019-09-15 00:00","189.701044","105262770.0932300000",
"2019-09-16 00:00","200.884022","105275654.1557300000",
"2019-09-17 00:00","212.647729","105288635.5307300000",
"2019-09-18 00:00","208.669438","105301318.2182300000",
"2019-09-19 00:00","215.931828","105314248.3432300000",
"2019-09-20 00:00","216.865112","105327061.2807300000",
"2019-09-21 00:00","210.381708","105339868.4682300000",
"2019-09-22 00:00","209.202655","105352793.3432300000",
"2019-09-23 00:00","191.881675","105365373.5932300000",
"2019-09-24 00:00","168.706908","105378172.2182300000",
"2019-09-25 00:00","166.019013","105391003.6557300000",
"2019-09-26 00:00","163.707113","105403704.7182300000",
"2019-09-27 00:00","170.661308","105416541.0932300000",
"2019-09-28 00:00","166.311168","105429404.3432300000",
"2019-09-29 00:00","177.572785","105442197.2807300000",
"2019-09-30 00:00","177.014201","105455075.5932300000",
"2019-10-01 00:00","175.825473","105467774.6557300000",
"2019-10-02 00:00","172.861192","105480599.7807300000",
"2019-10-03 00:00","174.784992","105493503.2807300000",
"2019-10-04 00:00","173.58023","105506409.6557300000",
"2019-10-05 00:00","173.866931","105519332.3432300000",
"2019-10-06 00:00","176.66559","105532084.7807300000",
"2019-10-07 00:00","179.301915","105544812.8432300000",
"2019-10-08 00:00","190.216889","105557562.4057300000",
"2019-10-09 00:00","191.378949","105569832.4682300000",
"2019-10-10 00:00","184.276292","105582576.0932300000",
"2019-10-11 00:00","183.286754","105595257.9682300000",
"2019-10-12 00:00","183.750214","105608030.9057300000",
"2019-10-13 00:00","182.603623","105620828.2807300000",
"2019-10-14 00:00","182.337859","105633716.7807300000",
"2019-10-15 00:00","174.127706","105646405.1557300000",
"2019-10-16 00:00","176.939923","105659030.9057300000",
"2019-10-17 00:00","172.73723","105671711.0307300000",
"2019-10-18 00:00","173.971248","105684441.9057300000",
"2019-10-19 00:00","172.970608","105697706.4682300000",
"2019-10-20 00:00","174.264196","105710314.6557300000",
"2019-10-21 00:00","172.4436556009","105723161.4682300000",
"2019-10-22 00:00","158.999916212","105735953.3432300000",
"2019-10-23 00:00","161.7171852843","105748506.3432300000",
"2019-10-24 00:00","167.8643838103","105760785.0932300000",
"2019-10-25 00:00","180.9500522459","105773343.2807300000",
"2019-10-26 00:00","183.0138996809","105785712.8432300000",
"2019-10-27 00:00","182.5761217521","105798221.1557300000",
"2019-10-28 00:00","185.2422220183","105810668.0932300000",
"2019-10-29 00:00","181.3801673333","105823162.3432300000",
"2019-10-30 00:00","182.1958649131","105835619.4682300000",
"2019-10-31 00:00","181.0742779497","105848202.4057300000",
"2019-11-01 00:00","183.8945035375","105860560.0307300000",
"2019-11-02 00:00","182.1535706169","105873120.7182300000",
"2019-11-03 00:00","186.4680888613","105885538.7807300000",
"2019-11-04 00:00","190.0538785424","105898017.5307300000",
"2019-11-05 00:00","190.2790825664","105910448.6557300000",
"2019-11-06 00:00","186.3852833612","105922806.2807300000",
"2019-11-07 00:00","183.2688744007","105935207.2182300000",
"2019-11-08 00:00","184.3762173227","105947503.6557300000",
"2019-11-09 00:00","186.6143406194","105959528.5932300000",
"2019-11-10 00:00","186.6826734662","105971520.8432300000",
"2019-11-11 00:00","183.6402050735","105983591.1557300000",
"2019-11-12 00:00","185.8039512804","105995643.0932300000",
"2019-11-13 00:00","183.9327515642","106007724.7182300000",
"2019-11-14 00:00","180.2645814431","106019720.2182300000",
"2019-11-15 00:00","182.2651052619","106031769.8432300000",
"2019-11-16 00:00","184.5372093387","106043831.6557300000",
"2019-11-17 00:00","181.0901315929","106055824.5932300000",
"2019-11-18 00:00","174.2438596994","106067640.9057300000",
"2019-11-19 00:00","175.4926867175","106079644.4682300000",
"2019-11-20 00:00","162.6916227271","106091807.7807300000",
"2019-11-21 00:00","145.8525453695","106103756.0307300000",
"2019-11-22 00:00","151.9369212717","106115884.9057300000",
"2019-11-23 00:00","145.7820677879","106127932.7807300000",
"2019-11-24 00:00","149.4274917225","106139757.5307300000",
"2019-11-25 00:00","144.8914154123","106151101.3432300000",
"2019-11-26 00:00","148.4940880237","106162434.1557300000",
"2019-11-27 00:00","154.1795026777","106173705.4057300000",
"2019-11-28 00:00","156.1482299328","106184958.4682300000",
"2019-11-29 00:00","152.5171341629","106196382.2182300000",
"2019-11-30 00:00","151.1617118658","106207615.4682300000",
"2019-12-01 00:00","147.9230805841","106218971.3432300000",
"2019-12-02 00:00","147.7299649377","106228713.3432300000",
"2019-12-03 00:00","148.3446759274","106239878.5932300000",
"2019-12-04 00:00","146.7509400673","106251144.5932300000",
"2019-12-05 00:00","147.521760274","106261616.2182300000",
"2019-12-06 00:00","146.7647797751","106275265.2182300000",
"2019-12-07 00:00","148.7648572381","106286535.4057300000",
"2019-12-08 00:00","148.6050679745","106297848.2807300000",
"2019-12-09 00:00","145.8999952914","106309261.1557300000",
"2019-12-10 00:00","142.63665495","106320440.0932300000",
"2019-12-11 00:00","142.4307094937","106331870.6557300000",
"2019-12-12 00:00","144.2547306668","106342833.9057300000",
"2019-12-13 00:00","142.6216801697","106353108.7807300000",
"2019-12-14 00:00","142.975120805","106363378.4057300000",
"2019-12-15 00:00","141.2854412468","106373585.0307300000",
"2019-12-16 00:00","128.224357097","106383700.4682300000",
"2019-12-17 00:00","125.5029321934","106393694.4057300000",
"2019-12-18 00:00","126.2349461427","106403738.4682300000",
"2019-12-19 00:00","128.2423654653","106413729.7182300000",
"2019-12-20 00:00","125.8682374709","106423898.9057300000",
"2019-12-21 00:00","128.8953464148","106433897.8432300000",
"2019-12-22 00:00","134.2704942899","106443906.6557300000",
"2019-12-23 00:00","126.1969971376","106454067.0932300000",
"2019-12-24 00:00","124.282634637","106464055.8432300000",
"2019-12-25 00:00","125.5265318384","106474059.2182300000",
"2019-12-26 00:00","125.8359962877","106484120.9682300000",
"2019-12-27 00:00","127.5638639775","106494275.8432300000",
"2019-12-28 00:00","130.4864695472","106504357.9057300000",
"2019-12-29 00:00","130.5129009881","106514402.2182300000",
"2019-12-30 00:00","130.3525219828","106524390.9057300000",
"2019-12-31 00:00","131.6997645809","106534363.9057300000",
"2020-01-01 00:00","129.5647063552","106545740.0932300000",
"2020-01-02 00:00","131.8208559855","106558806.5307300000",
"2020-01-03 00:00","133.6814568095","106571967.7807300000",
"2020-01-04 00:00","136.4924868072","106584963.8432300000",
"2020-01-05 00:00","140.7233801544","106598158.6557300000",
"2020-01-06 00:00","140.0718220733","106611244.7807300000",
"2020-01-07 00:00","141.6048511256","106624257.1557300000",
"2020-01-08 00:00","138.5377453452","106637309.1557300000",
"2020-01-09 00:00","141.0870388458","106649778.9682300000",
"2020-01-10 00:00","142.2446844927","106663537.6557300000",
"2020-01-11 00:00","144.2253166574","106676590.4682300000",
"2020-01-12 00:00","142.8701689522","106689690.5307300000",
"2020-01-13 00:00","156.0480108264","106702762.4057300000",
"2020-01-14 00:00","164.6656401564","106715756.2182300000",
"2020-01-15 00:00","162.9771638172","106728842.0932300000",
"2020-01-16 00:00","167.030024845","106741964.3432300000",
"2020-01-17 00:00","175.0948899716","106755016.9057300000",
"2020-01-18 00:00","164.992688805","106768179.3432300000",
"2020-01-19 00:00","166.1996119322","106781235.3432300000",
"2020-01-20 00:00","168.4096077223","106794399.9057300000",
"2020-01-21 00:00","167.4856539051","106807364.5307300000",
"2020-01-22 00:00","163.5506234938","106820536.9682300000",
"2020-01-23 00:00","161.8565313406","106833584.9057300000",
"2020-01-24 00:00","160.1775533281","106846589.2182300000",
"2020-01-25 00:00","163.6269357056","106859600.2807300000",
"2020-01-26 00:00","169.9204713243","106872725.2182300000",
"2020-01-27 00:00","172.0659407615","106885766.9057300000",
"2020-01-28 00:00","175.8985666108","106898890.2182300000",
"2020-01-29 00:00","176.4541976204","106911816.2182300000",
"2020-01-30 00:00","178.2622365555","106924818.8432300000",
