时间,币价,区块大小
"2016-08-17 00:00","10.75275326","1663.0361000000",
"2016-08-18 00:00","10.75610638","1490.9460000000",
"2016-08-19 00:00","10.74868679","1452.6119000000",
"2016-08-20 00:00","11.24738789","1479.7615000000",
"2016-08-21 00:00","11.17916775","1525.6454000000",
"2016-08-22 00:00","11.12092113","2023.0981000000",
"2016-08-23 00:00","11.03055477","1589.9541000000",
"2016-08-24 00:00","11.03602505","1663.2396000000",
"2016-08-25 00:00","11.35740757","1609.8711000000",
"2016-08-26 00:00","11.29538727","1586.4161000000",
"2016-08-27 00:00","11.1482029","1450.6734000000",
"2016-08-28 00:00","10.92926788","1572.1122000000",
"2016-08-29 00:00","10.98382664","1615.8427000000",
"2016-08-30 00:00","11.22885418","1537.9681000000",
"2016-08-31 00:00","11.67238045","1582.8741000000",
"2016-09-01 00:00","11.99490738","1849.8477000000",
"2016-09-02 00:00","12.11295128","1513.1199000000",
"2016-09-03 00:00","11.75873947","1719.1705000000",
"2016-09-04 00:00","11.67991734","1511.8743000000",
"2016-09-05 00:00","11.71703339","1722.3224000000",
"2016-09-06 00:00","11.68914032","1692.2470000000",
"2016-09-07 00:00","11.54791069","1899.7121000000",
"2016-09-08 00:00","11.34593678","1853.3866000000",
"2016-09-09 00:00","11.65284252","1508.3227000000",
"2016-09-10 00:00","12.1684866","1460.2631000000",
"2016-09-11 00:00","11.63843155","1584.9979000000",
"2016-09-12 00:00","11.89369202","1497.2402000000",
"2016-09-13 00:00","11.91872501","1757.6009000000",
"2016-09-14 00:00","11.92320633","1743.4825000000",
"2016-09-15 00:00","11.93702698","2019.9060000000",
"2016-09-16 00:00","12.55577183","1587.8225000000",
"2016-09-17 00:00","12.69864559","1432.6526000000",
"2016-09-18 00:00","12.43123531","1340.9983000000",
"2016-09-19 00:00","13.18900108","1689.3700000000",
"2016-09-20 00:00","14.43027496","1598.3332000000",
"2016-09-21 00:00","13.76851273","1876.2966000000",
"2016-09-22 00:00","13.24758434","1280.1939000000",
"2016-09-23 00:00","13.3313179","1526.0835000000",
"2016-09-24 00:00","12.87793636","1386.5588000000",
"2016-09-25 00:00","13.10085487","1544.7002000000",
"2016-09-26 00:00","12.8230505","1660.8308000000",
"2016-09-27 00:00","13.09827995","1561.3208000000",
"2016-09-28 00:00","13.27484035","1441.5230000000",
"2016-09-29 00:00","13.07335472","1436.6005000000",
"2016-09-30 00:00","13.22480297","1809.9933000000",
"2016-10-01 00:00","13.17269611","1686.7932000000",
"2016-10-02 00:00","13.19970989","1718.6813000000",
"2016-10-03 00:00","13.45236683","2191.5002000000",
"2016-10-04 00:00","13.27698708","1802.1939000000",
"2016-10-05 00:00","13.03569317","1938.3093000000",
"2016-10-06 00:00","12.85433292","4119.2412000000",
"2016-10-07 00:00","12.66705894","5429.3202000000",
"2016-10-08 00:00","12.21911621","5682.6363000000",
"2016-10-09 00:00","12.05368328","12725.1602000000",
"2016-10-10 00:00","11.75553703","2762.4464000000",
"2016-10-11 00:00","11.78567982","1247.8766000000",
"2016-10-12 00:00","11.93353081","1306.1258000000",
"2016-10-13 00:00","11.9630022","1400.3357000000",
"2016-10-14 00:00","11.93824577","1236.3091000000",
"2016-10-15 00:00","11.98343563","1296.9912000000",
"2016-10-16 00:00","11.9515667","1376.8418000000",
"2016-10-17 00:00","12.0050087","1746.6305000000",
"2016-10-18 00:00","12.58848763","1638.1510000000",
"2016-10-19 00:00","12.02256203","1465.5435000000",
"2016-10-20 00:00","12.098979","1724.4356000000",
"2016-10-21 00:00","12.17536449","1356.8805000000",
"2016-10-22 00:00","12.07148743","1291.5673000000",
"2016-10-23 00:00","12.03603363","1791.4547000000",
"2016-10-24 00:00","11.96895885","1675.2807000000",
"2016-10-25 00:00","11.41400719","1549.6404000000",
"2016-10-26 00:00","11.53199673","1517.9879000000",
"2016-10-27 00:00","11.49969292","1472.2267000000",
"2016-10-28 00:00","11.08507824","1461.4058000000",
"2016-10-29 00:00","10.44459438","1422.4339000000",
"2016-10-30 00:00","11.18276787","1535.7106000000",
"2016-10-31 00:00","10.99822712","1688.5623000000",
"2016-11-01 00:00","10.76613426","1496.6731000000",
"2016-11-02 00:00","10.75260258","1470.5561000000",
"2016-11-03 00:00","10.80099678","1262.1491000000",
"2016-11-04 00:00","11.09069157","1357.9762000000",
"2016-11-05 00:00","11.0025177","1289.3160000000",
"2016-11-06 00:00","10.87350655","1399.4177000000",
"2016-11-07 00:00","10.80883884","1475.9146000000",
"2016-11-08 00:00","10.83365059","1483.8638000000",
"2016-11-09 00:00","10.65554047","1492.3314000000",
"2016-11-10 00:00","10.52449417","1462.2341000000",
"2016-11-11 00:00","10.28994465","1426.0427000000",
"2016-11-12 00:00","9.87795925","1467.9626000000",
"2016-11-13 00:00","10.10153484","1576.0442000000",
"2016-11-14 00:00","9.96647644","1577.3743000000",
"2016-11-15 00:00","10.21750355","1481.4374000000",
"2016-11-16 00:00","10.05912781","1475.9162000000",
"2016-11-17 00:00","9.99117851","1513.5591000000",
"2016-11-18 00:00","9.47615719","1375.2223000000",
"2016-11-19 00:00","9.66276073","1472.8848000000",
"2016-11-20 00:00","9.57928467","1537.4920000000",
"2016-11-21 00:00","9.62081528","1707.9502000000",
"2016-11-22 00:00","9.9057169","1949.9712000000",
"2016-11-23 00:00","9.84361649","1423.5644000000",
"2016-11-24 00:00","9.23167324","1767.1271000000",
"2016-11-25 00:00","9.40205097","1500.9178000000",
"2016-11-26 00:00","9.3281126","1702.9098000000",
"2016-11-27 00:00","8.99847031","1731.0099000000",
"2016-11-28 00:00","8.72482395","1692.3555000000",
"2016-11-29 00:00","8.17411613","2208.6892000000",
"2016-11-30 00:00","8.58754253","1407.4065000000",
"2016-12-01 00:00","8.4525013","1461.5490000000",
"2016-12-02 00:00","7.75996161","1404.4266000000",
"2016-12-03 00:00","7.92134237","1403.2711000000",
"2016-12-04 00:00","7.44367933","1491.4427000000",
"2016-12-05 00:00","6.82166243","1614.9611000000",
"2016-12-06 00:00","7.86892748","1522.6623000000",
"2016-12-07 00:00","8.38148212","1415.6616000000",
"2016-12-08 00:00","8.23051453","1502.0960000000",
"2016-12-09 00:00","8.44601345","1427.6998000000",
"2016-12-10 00:00","8.12516308","1680.9000000000",
"2016-12-11 00:00","8.19362354","1477.0118000000",
"2016-12-12 00:00","8.52221107","1538.4992000000",
"2016-12-13 00:00","8.4228487","1835.3301000000",
"2016-12-14 00:00","8.26523495","1581.6621000000",
"2016-12-15 00:00","7.82846737","1506.0107000000",
"2016-12-16 00:00","7.8582139","1417.8738000000",
