时间,币价,平均Gas价格
"2018-07-20 00:00","450.69799805","4574655169.1104000000",
"2018-07-21 00:00","462.43600464","2852808692.0080000000",
"2018-07-22 00:00","459.65701294","5180841348.5041000000",
"2018-07-23 00:00","450.85299683","3255548323.9498000000",
"2018-07-24 00:00","479.37298584","3108838211.4671000000",
"2018-07-25 00:00","472.49301147","2823138306.9123000000",
"2018-07-26 00:00","464.0369873","2535879972.0042000000",
"2018-07-27 00:00","469.66598511","3920713951.0097000000",
"2018-07-28 00:00","466.89801025","2100555123.2108000000",
"2018-07-29 00:00","466.66500854","2056997841.7957000000",
"2018-07-30 00:00","457.08087158","2115480474.1902000000",
"2018-07-31 00:00","433.86654663","1974154169.3092000000",
"2018-08-01 00:00","420.74694824","2138678860.4670000000",
"2018-08-02 00:00","412.62121582","3095072651.1897000000",
"2018-08-03 00:00","418.26171875","2129386426.8919000000",
"2018-08-04 00:00","407.25244141","2224175683.4364000000",
"2018-08-05 00:00","410.51611328","2947213110.9289000000",
"2018-08-06 00:00","406.65835571","14281524332.8053000000",
"2018-08-07 00:00","380.21502686","36804653428.0295000000",
"2018-08-08 00:00","356.61303711","31964076191.6890000000",
"2018-08-09 00:00","365.58779907","16202484983.5915000000",
"2018-08-10 00:00","334.17645264","4765169858.2087000000",
"2018-08-11 00:00","322.11151123","3860505136.9431000000",
"2018-08-12 00:00","319.56973267","5757857877.7681000000",
"2018-08-13 00:00","286.49536133","8552740757.6941000000",
"2018-08-14 00:00","278.93161011","6242346547.6895000000",
"2018-08-15 00:00","282.36367798","4266377567.4968000000",
"2018-08-16 00:00","288.04647827","22203542674.3580000000",
"2018-08-17 00:00","315.72894287","3178698943.4397000000",
"2018-08-18 00:00","295.81170654","2617601822.2906000000",
"2018-08-19 00:00","300.83383179","2796201159.7419000000",
"2018-08-20 00:00","274.31512451","2943158995.5739000000",
"2018-08-21 00:00","281.94393921","6701116877.6584000000",
"2018-08-22 00:00","271.34115601","3849165840.4871000000",
"2018-08-23 00:00","277.10388184","8441366359.8174000000",
"2018-08-24 00:00","282.9671936","2828820491.7967000000",
"2018-08-25 00:00","279.64599609","4904058490.9366000000",
"2018-08-26 00:00","275.19708252","3461677649.8512000000",
"2018-08-27 00:00","285.603302","8517565421.1409000000",
"2018-08-28 00:00","296.4994812","4375427972.4200000000",
"2018-08-29 00:00","289.31240845","4288611349.2335000000",
"2018-08-30 00:00","284.10546875","4434740300.3000000000",
"2018-08-31 00:00","283.00408936","3943824548.6947000000",
"2018-09-01 00:00","295.34133911","3826729579.1294000000",
"2018-09-02 00:00","294.3706665","3842300283.2361000000",
"2018-09-03 00:00","289.25946045","4734755637.1009000000",
"2018-09-04 00:00","285.72320557","3953598894.6098000000",
"2018-09-05 00:00","232.33119202","5434262164.2434000000",
"2018-09-06 00:00","230.21485901","5399633985.4055000000",
"2018-09-07 00:00","217.20251465","5015262043.7475000000",
"2018-09-08 00:00","197.95074463","5112820472.2397000000",
"2018-09-09 00:00","196.9243927","5011706104.8748000000",
"2018-09-10 00:00","197.07907104","6007804894.3482000000",
"2018-09-11 00:00","185.06646729","5999585059.5971000000",
"2018-09-12 00:00","183.33126831","7154402619.3220000000",
"2018-09-13 00:00","211.3540802","5343641934.0737000000",
"2018-09-14 00:00","211.74893188","4971178639.9514000000",
"2018-09-15 00:00","223.0743866","4746656718.3396000000",
"2018-09-16 00:00","220.58880615","5365728162.5377000000",
"2018-09-17 00:00","197.87472534","6122216334.5125000000",
"2018-09-18 00:00","209.97457886","8227062679.1026000000",
"2018-09-19 00:00","209.96894836","7298919002.9521000000",
"2018-09-20 00:00","224.59100342","7995606924.0700000000",
"2018-09-21 00:00","246.58425903","5868213107.7968000000",
"2018-09-22 00:00","240.48042297","5327600277.5735000000",
"2018-09-23 00:00","244.32952881","6905802419.6681000000",
"2018-09-24 00:00","228.72991943","6914342668.3573000000",
"2018-09-25 00:00","218.50453186","7686253699.8868000000",
"2018-09-26 00:00","215.84741211","8399409857.4996000000",
"2018-09-27 00:00","228.49415588","9123812662.5615000000",
"2018-09-28 00:00","222.40211487","9872041241.9119000000",
"2018-09-29 00:00","231.63473511","8223347165.5906000000",
"2018-09-30 00:00","232.84849548","9859172593.7806000000",
"2018-10-01 00:00","230.76777649","9752100299.6010000000",
"2018-10-02 00:00","227.18087769","5516045261.2081000000",
"2018-10-03 00:00","220.48942566","5601257068.8721000000",
"2018-10-04 00:00","222.21839905","5255235358.6324000000",
"2018-10-05 00:00","227.60064697","3994789778.1868000000",
"2018-10-06 00:00","225.11988831","6837554769.7396000000",
"2018-10-07 00:00","226.11851501","6298590972.4844000000",
"2018-10-08 00:00","229.25517273","5361786685.1607000000",
"2018-10-09 00:00","227.98153687","8834302976.7891000000",
"2018-10-10 00:00","225.76925659","7336808079.3428000000",
"2018-10-11 00:00","189.49923706","6201548551.1055000000",
"2018-10-12 00:00","196.7272644","5049387885.0536000000",
"2018-10-13 00:00","199.84094238","4606980221.8949000000",
"2018-10-14 00:00","195.7146759","6662904964.2363000000",
"2018-10-15 00:00","209.70370483","5295477025.0551000000",
"2018-10-16 00:00","210.11975098","5237874289.2794000000",
"2018-10-17 00:00","207.0834198","5255448401.4023000000",
"2018-10-18 00:00","203.35157776","6441983677.9591000000",
"2018-10-19 00:00","203.72718811","5744096088.9955000000",
"2018-10-20 00:00","205.42958069","5651785876.6421000000",
"2018-10-21 00:00","205.14186096","5397574637.4915000000",
"2018-10-22 00:00","204.04417419","5914346501.9703000000",
"2018-10-23 00:00","204.33587646","7715694438.8865000000",
"2018-10-24 00:00","203.85238647","7478800504.0599000000",
"2018-10-25 00:00","202.71853638","7245501705.1517000000",
"2018-10-26 00:00","203.32925415","5719185583.8043000000",
"2018-10-27 00:00","204.21002197","5108798055.8941000000",
"2018-10-28 00:00","205.36631775","5990861321.0080000000",
"2018-10-29 00:00","197.24705505","5832650082.2939000000",
"2018-10-30 00:00","197.55596924","5888827370.3092000000",
"2018-10-31 00:00","197.38092041","6405035618.4653000000",
"2018-11-01 00:00","198.87228394","7399899577.2681000000",
"2018-11-02 00:00","200.63468933","6232320660.1525000000",
"2018-11-03 00:00","200.18605042","5733160178.0304000000",
"2018-11-04 00:00","207.48579407","8393888137.7883000000",
"2018-11-05 00:00","209.09129333","8685266242.8915000000",
"2018-11-06 00:00","218.45233154","7303601969.7476000000",
"2018-11-07 00:00","217.18313599","7612422729.1121000000",
"2018-11-08 00:00","212.23146057","6328269081.0509000000",
"2018-11-09 00:00","210.07443237","4905709063.0679000000",
"2018-11-10 00:00","212.53291321","4336507588.8062000000",
"2018-11-11 00:00","211.34011841","5065161888.5845000000",
"2018-11-12 00:00","210.4178772","5554609650.5295000000",
"2018-11-13 00:00","206.82575989","6359081317.0922000000",
"2018-11-14 00:00","181.39659119","7644769007.8984000000",
"2018-11-15 00:00","180.80636597","6726660240.4735000000",
"2018-11-16 00:00","175.17703247","4995536560.2772000000",
"2018-11-17 00:00","174.00112915","4827475958.4082000000",
"2018-11-18 00:00","177.06741333","6438545574.3882000000",
"2018-11-19 00:00","149.17459106","6747278123.6530000000",
"2018-11-20 00:00","130.33856201","5590040825.8119000000",
"2018-11-21 00:00","136.70149231","5931444399.4410000000",
"2018-11-22 00:00","126.70603943","6233068689.6798000000",
"2018-11-23 00:00","123.29551697","5745599579.8477000000",
"2018-11-24 00:00","113.49375153","6580126966.1771000000",
"2018-11-25 00:00","116.45040894","5380718026.8626000000",
"2018-11-26 00:00","108.33450317","5333225805.3420000000",
"2018-11-27 00:00","110.00997162","6489183295.8233000000",
"2018-11-28 00:00","122.43751526","8470672210.1134000000",
"2018-11-29 00:00","117.5426452","11554067540.5155000000",
"2018-11-30 00:00","113.1714211","7562604623.9678000000",
"2018-12-01 00:00","118.63555864","6939617296.2825000000",
"2018-12-02 00:00","116.38889933","7821252764.9670000000",
"2018-12-03 00:00","108.92501783","8378475814.1510000000",
"2018-12-04 00:00","110.21418959","8491846785.8165000000",
"2018-12-05 00:00","102.47555556","7322288449.1278000000",
"2018-12-06 00:00","91.76105616","7346507976.3520000000",
"2018-12-07 00:00","93.29456401","6564359830.7777000000",
"2018-12-08 00:00","92.15963969","6161551543.8066000000",
"2018-12-09 00:00","95.14205948","6925585236.7801000000",
"2018-12-10 00:00","91.68565676","6388174241.1524000000",
"2018-12-11 00:00","88.94530321","7448091170.0994000000",
"2018-12-12 00:00","90.59330191","6481853904.3505000000",
"2018-12-13 00:00","86.53931489","6458576833.9115000000",
"2018-12-14 00:00","84.30829593","6050526029.2275000000",
"2018-12-15 00:00","84.44080953","5774081800.8518000000",
"2018-12-16 00:00","85.26209693","6243625417.6374000000",
"2018-12-17 00:00","95.13382712","7467537395.2058000000",
"2018-12-18 00:00","101.1124558","6511032751.3476000000",
"2018-12-19 00:00","101.26857523","6181378429.1476000000",
"2018-12-20 00:00","116.21687011","6350962777.9101000000",
"2018-12-21 00:00","109.49623355","5480043963.7860000000",
"2018-12-22 00:00","116.75949916","5627702717.9475000000",
"2018-12-23 00:00","130.7652598","6062532620.3967000000",
"2018-12-24 00:00","140.23800256","7222870704.0791000000",
"2018-12-25 00:00","129.84435176","6065101080.5833000000",
"2018-12-26 00:00","131.86562737","5227035424.2549000000",
"2018-12-27 00:00","116.57591051","5061597415.9726000000",
"2018-12-28 00:00","137.64701331","4671121632.1614000000",
"2018-12-29 00:00","138.01833478","7922290860.1422000000",
"2018-12-30 00:00","139.85945289","4680732771.7034000000",
"2018-12-31 00:00","133.36826344","5334340482.9882000000",
"2019-01-01 00:00","140.81941316","5138271332.4933000000",
"2019-01-02 00:00","155.04767721","4847570448.4604000000",
"2019-01-03 00:00","149.13500338","5417810421.2766000000",
"2019-01-04 00:00","154.58194227","4964323031.8162000000",
"2019-01-05 00:00","155.63858948","4861185466.4428000000",
"2019-01-06 00:00","157.74619931","4911098484.4310000000",
"2019-01-07 00:00","151.69921345","5076203048.1947000000",
"2019-01-08 00:00","150.35963344","4850219809.6699000000",
"2019-01-09 00:00","150.80311047","5244256215.9488000000",
"2019-01-10 00:00","128.62518594","5212933592.0674000000",
"2019-01-11 00:00","127.54832487","4713579856.4431000000",
"2019-01-12 00:00","125.9665328","5154102645.2972000000",
