时间,币价,区块数
"2016-07-29 00:00","12.79463482","5981.0000000000",
"2016-07-30 00:00","12.46101952","6029.0000000000",
"2016-07-31 00:00","11.87594414","5961.0000000000",
"2016-08-01 00:00","10.94160366","5894.0000000000",
"2016-08-02 00:00","8.78727818","5984.0000000000",
"2016-08-03 00:00","10.29389095","6192.0000000000",
"2016-08-04 00:00","11.0427866","6065.0000000000",
"2016-08-05 00:00","10.92538166","5978.0000000000",
"2016-08-06 00:00","10.88107681","6077.0000000000",
"2016-08-07 00:00","10.91155529","6059.0000000000",
"2016-08-08 00:00","11.2454319","6130.0000000000",
"2016-08-09 00:00","12.2443018","6054.0000000000",
"2016-08-10 00:00","12.14320564","6068.0000000000",
"2016-08-11 00:00","11.69089794","6014.0000000000",
"2016-08-12 00:00","11.77854824","6032.0000000000",
"2016-08-13 00:00","11.57128239","6034.0000000000",
"2016-08-14 00:00","11.19476032","6090.0000000000",
"2016-08-15 00:00","11.21837139","6054.0000000000",
"2016-08-16 00:00","11.13965511","6009.0000000000",
"2016-08-17 00:00","10.75275326","6100.0000000000",
"2016-08-18 00:00","10.75610638","6014.0000000000",
"2016-08-19 00:00","10.74868679","6055.0000000000",
"2016-08-20 00:00","11.24738789","6084.0000000000",
"2016-08-21 00:00","11.17916775","6078.0000000000",
"2016-08-22 00:00","11.12092113","6015.0000000000",
"2016-08-23 00:00","11.03055477","6053.0000000000",
"2016-08-24 00:00","11.03602505","6094.0000000000",
"2016-08-25 00:00","11.35740757","6006.0000000000",
"2016-08-26 00:00","11.29538727","6076.0000000000",
"2016-08-27 00:00","11.1482029","6035.0000000000",
"2016-08-28 00:00","10.92926788","6014.0000000000",
"2016-08-29 00:00","10.98382664","6026.0000000000",
"2016-08-30 00:00","11.22885418","6073.0000000000",
"2016-08-31 00:00","11.67238045","5989.0000000000",
"2016-09-01 00:00","11.99490738","6088.0000000000",
"2016-09-02 00:00","12.11295128","5949.0000000000",
"2016-09-03 00:00","11.75873947","6023.0000000000",
"2016-09-04 00:00","11.67991734","6076.0000000000",
"2016-09-05 00:00","11.71703339","5993.0000000000",
"2016-09-06 00:00","11.68914032","6118.0000000000",
"2016-09-07 00:00","11.54791069","6016.0000000000",
"2016-09-08 00:00","11.34593678","6074.0000000000",
"2016-09-09 00:00","11.65284252","5999.0000000000",
"2016-09-10 00:00","12.1684866","6093.0000000000",
"2016-09-11 00:00","11.63843155","6063.0000000000",
"2016-09-12 00:00","11.89369202","6003.0000000000",
"2016-09-13 00:00","11.91872501","6091.0000000000",
"2016-09-14 00:00","11.92320633","6031.0000000000",
"2016-09-15 00:00","11.93702698","6065.0000000000",
"2016-09-16 00:00","12.55577183","6044.0000000000",
"2016-09-17 00:00","12.69864559","5598.0000000000",
"2016-09-18 00:00","12.43123531","6409.0000000000",
"2016-09-19 00:00","13.18900108","6167.0000000000",
"2016-09-20 00:00","14.43027496","6062.0000000000",
"2016-09-21 00:00","13.76851273","5746.0000000000",
"2016-09-22 00:00","13.24758434","6226.0000000000",
"2016-09-23 00:00","13.3313179","5877.0000000000",
"2016-09-24 00:00","12.87793636","6267.0000000000",
"2016-09-25 00:00","13.10085487","5843.0000000000",
"2016-09-26 00:00","12.8230505","6053.0000000000",
"2016-09-27 00:00","13.09827995","6106.0000000000",
"2016-09-28 00:00","13.27484035","6126.0000000000",
"2016-09-29 00:00","13.07335472","6008.0000000000",
"2016-09-30 00:00","13.22480297","5780.0000000000",
"2016-10-01 00:00","13.17269611","6068.0000000000",
"2016-10-02 00:00","13.19970989","6204.0000000000",
"2016-10-03 00:00","13.45236683","6077.0000000000",
"2016-10-04 00:00","13.27698708","5817.0000000000",
"2016-10-05 00:00","13.03569317","5953.0000000000",
"2016-10-06 00:00","12.85433292","5887.0000000000",
"2016-10-07 00:00","12.66705894","6200.0000000000",
"2016-10-08 00:00","12.21911621","6049.0000000000",
"2016-10-09 00:00","12.05368328","6041.0000000000",
"2016-10-10 00:00","11.75553703","6050.0000000000",
"2016-10-11 00:00","11.78567982","5910.0000000000",
"2016-10-12 00:00","11.93353081","6114.0000000000",
"2016-10-13 00:00","11.9630022","6079.0000000000",
"2016-10-14 00:00","11.93824577","6027.0000000000",
"2016-10-15 00:00","11.98343563","6055.0000000000",
"2016-10-16 00:00","11.9515667","5959.0000000000",
"2016-10-17 00:00","12.0050087","6119.0000000000",
"2016-10-18 00:00","12.58848763","5774.0000000000",
"2016-10-19 00:00","12.02256203","6298.0000000000",
"2016-10-20 00:00","12.098979","6097.0000000000",
"2016-10-21 00:00","12.17536449","6041.0000000000",
"2016-10-22 00:00","12.07148743","5993.0000000000",
"2016-10-23 00:00","12.03603363","6065.0000000000",
"2016-10-24 00:00","11.96895885","6028.0000000000",
"2016-10-25 00:00","11.41400719","6096.0000000000",
"2016-10-26 00:00","11.53199673","6018.0000000000",
"2016-10-27 00:00","11.49969292","5943.0000000000",
"2016-10-28 00:00","11.08507824","5668.0000000000",
"2016-10-29 00:00","10.44459438","6059.0000000000",
"2016-10-30 00:00","11.18276787","6092.0000000000",
"2016-10-31 00:00","10.99822712","5839.0000000000",
"2016-11-01 00:00","10.76613426","5952.0000000000",
"2016-11-02 00:00","10.75260258","5950.0000000000",
"2016-11-03 00:00","10.80099678","5904.0000000000",
"2016-11-04 00:00","11.09069157","5996.0000000000",
"2016-11-05 00:00","11.0025177","6054.0000000000",
"2016-11-06 00:00","10.87350655","6315.0000000000",
"2016-11-07 00:00","10.80883884","6159.0000000000",
"2016-11-08 00:00","10.83365059","5924.0000000000",
"2016-11-09 00:00","10.65554047","5966.0000000000",
"2016-11-10 00:00","10.52449417","5992.0000000000",
"2016-11-11 00:00","10.28994465","6086.0000000000",
"2016-11-12 00:00","9.87795925","6203.0000000000",
"2016-11-13 00:00","10.10153484","6067.0000000000",
"2016-11-14 00:00","9.96647644","6006.0000000000",
"2016-11-15 00:00","10.21750355","6045.0000000000",
"2016-11-16 00:00","10.05912781","5868.0000000000",
"2016-11-17 00:00","9.99117851","6289.0000000000",
"2016-11-18 00:00","9.47615719","6150.0000000000",
"2016-11-19 00:00","9.66276073","6179.0000000000",
"2016-11-20 00:00","9.57928467","6073.0000000000",
"2016-11-21 00:00","9.62081528","5922.0000000000",
"2016-11-22 00:00","9.9057169","5837.0000000000",
"2016-11-23 00:00","9.84361649","5914.0000000000",
"2016-11-24 00:00","9.23167324","6111.0000000000",
"2016-11-25 00:00","9.40205097","5938.0000000000",
"2016-11-26 00:00","9.3281126","5945.0000000000",
"2016-11-27 00:00","8.99847031","6042.0000000000",
"2016-11-28 00:00","8.72482395","5988.0000000000",
"2016-11-29 00:00","8.17411613","6061.0000000000",
"2016-11-30 00:00","8.58754253","6057.0000000000",
"2016-12-01 00:00","8.4525013","6075.0000000000",
"2016-12-02 00:00","7.75996161","6160.0000000000",
"2016-12-03 00:00","7.92134237","5983.0000000000",
"2016-12-04 00:00","7.44367933","6004.0000000000",
"2016-12-05 00:00","6.82166243","6089.0000000000",
"2016-12-06 00:00","7.86892748","6073.0000000000",
"2016-12-07 00:00","8.38148212","6125.0000000000",
"2016-12-08 00:00","8.23051453","6050.0000000000",
"2016-12-09 00:00","8.44601345","6075.0000000000",
"2016-12-10 00:00","8.12516308","6098.0000000000",
"2016-12-11 00:00","8.19362354","5999.0000000000",
"2016-12-12 00:00","8.52221107","6070.0000000000",
"2016-12-13 00:00","8.4228487","6080.0000000000",
"2016-12-14 00:00","8.26523495","6001.0000000000",
"2016-12-15 00:00","7.82846737","6075.0000000000",
"2016-12-16 00:00","7.8582139","6116.0000000000",
"2016-12-17 00:00","7.87658596","6096.0000000000",
"2016-12-18 00:00","7.86532021","6032.0000000000",
"2016-12-19 00:00","7.64382315","6069.0000000000",
"2016-12-20 00:00","7.66003942","6070.0000000000",
"2016-12-21 00:00","7.91440153","5956.0000000000",
"2016-12-22 00:00","7.58500481","5954.0000000000",
"2016-12-23 00:00","7.16614914","6006.0000000000",
"2016-12-24 00:00","7.2657733","6127.0000000000",
"2016-12-25 00:00","7.17507982","6066.0000000000",
"2016-12-26 00:00","7.27409172","5998.0000000000",
"2016-12-27 00:00","7.1708231","6056.0000000000",
"2016-12-28 00:00","7.52010679","6082.0000000000",
"2016-12-29 00:00","8.28415871","6063.0000000000",
"2016-12-30 00:00","8.15998363","5993.0000000000",
"2016-12-31 00:00","7.96909714","6111.0000000000",
"2017-01-01 00:00","8.17257118","6058.0000000000",
"2017-01-02 00:00","8.37851238","6035.0000000000",
