时间,币价,出块耗时
"2016-08-09 00:00","12.2443018","14.3000000000",
"2016-08-10 00:00","12.14320564","14.2000000000",
"2016-08-11 00:00","11.69089794","14.4000000000",
"2016-08-12 00:00","11.77854824","14.3000000000",
"2016-08-13 00:00","11.57128239","14.3000000000",
"2016-08-14 00:00","11.19476032","14.2000000000",
"2016-08-15 00:00","11.21837139","14.3000000000",
"2016-08-16 00:00","11.13965511","14.4000000000",
"2016-08-17 00:00","10.75275326","14.2000000000",
"2016-08-18 00:00","10.75610638","14.4000000000",
"2016-08-19 00:00","10.74868679","14.3000000000",
"2016-08-20 00:00","11.24738789","14.2000000000",
"2016-08-21 00:00","11.17916775","14.2000000000",
"2016-08-22 00:00","11.12092113","14.4000000000",
"2016-08-23 00:00","11.03055477","14.3000000000",
"2016-08-24 00:00","11.03602505","14.2000000000",
"2016-08-25 00:00","11.35740757","14.4000000000",
"2016-08-26 00:00","11.29538727","14.2000000000",
"2016-08-27 00:00","11.1482029","14.3000000000",
"2016-08-28 00:00","10.92926788","14.4000000000",
"2016-08-29 00:00","10.98382664","14.3000000000",
"2016-08-30 00:00","11.22885418","14.2000000000",
"2016-08-31 00:00","11.67238045","14.4000000000",
"2016-09-01 00:00","11.99490738","14.2000000000",
"2016-09-02 00:00","12.11295128","14.5000000000",
"2016-09-03 00:00","11.75873947","14.3000000000",
"2016-09-04 00:00","11.67991734","14.2000000000",
"2016-09-05 00:00","11.71703339","14.4000000000",
"2016-09-06 00:00","11.68914032","14.1000000000",
"2016-09-07 00:00","11.54791069","14.4000000000",
"2016-09-08 00:00","11.34593678","14.2000000000",
"2016-09-09 00:00","11.65284252","14.4000000000",
"2016-09-10 00:00","12.1684866","14.2000000000",
"2016-09-11 00:00","11.63843155","14.3000000000",
"2016-09-12 00:00","11.89369202","14.4000000000",
"2016-09-13 00:00","11.91872501","14.2000000000",
"2016-09-14 00:00","11.92320633","14.3000000000",
"2016-09-15 00:00","11.93702698","14.2000000000",
"2016-09-16 00:00","12.55577183","14.3000000000",
"2016-09-17 00:00","12.69864559","15.4000000000",
"2016-09-18 00:00","12.43123531","13.5000000000",
"2016-09-19 00:00","13.18900108","14.0000000000",
"2016-09-20 00:00","14.43027496","14.3000000000",
"2016-09-21 00:00","13.76851273","15.0000000000",
"2016-09-22 00:00","13.24758434","13.9000000000",
"2016-09-23 00:00","13.3313179","14.7000000000",
"2016-09-24 00:00","12.87793636","13.8000000000",
"2016-09-25 00:00","13.10085487","14.8000000000",
"2016-09-26 00:00","12.8230505","14.3000000000",
"2016-09-27 00:00","13.09827995","14.2000000000",
"2016-09-28 00:00","13.27484035","14.1000000000",
"2016-09-29 00:00","13.07335472","14.4000000000",
"2016-09-30 00:00","13.22480297","14.9000000000",
"2016-10-01 00:00","13.17269611","14.2000000000",
"2016-10-02 00:00","13.19970989","13.9000000000",
"2016-10-03 00:00","13.45236683","14.2000000000",
"2016-10-04 00:00","13.27698708","14.9000000000",
"2016-10-05 00:00","13.03569317","14.5000000000",
"2016-10-06 00:00","12.85433292","14.7000000000",
"2016-10-07 00:00","12.66705894","13.9000000000",
"2016-10-08 00:00","12.21911621","14.3000000000",
"2016-10-09 00:00","12.05368328","14.3000000000",
"2016-10-10 00:00","11.75553703","14.3000000000",
"2016-10-11 00:00","11.78567982","14.6000000000",
"2016-10-12 00:00","11.93353081","14.1000000000",
"2016-10-13 00:00","11.9630022","14.2000000000",
"2016-10-14 00:00","11.93824577","14.3000000000",
"2016-10-15 00:00","11.98343563","14.3000000000",
"2016-10-16 00:00","11.9515667","14.5000000000",
"2016-10-17 00:00","12.0050087","14.1000000000",
"2016-10-18 00:00","12.58848763","15.0000000000",
"2016-10-19 00:00","12.02256203","13.7000000000",
"2016-10-20 00:00","12.098979","14.2000000000",
"2016-10-21 00:00","12.17536449","14.3000000000",
"2016-10-22 00:00","12.07148743","14.4000000000",
"2016-10-23 00:00","12.03603363","14.2000000000",
"2016-10-24 00:00","11.96895885","14.3000000000",
"2016-10-25 00:00","11.41400719","14.2000000000",
"2016-10-26 00:00","11.53199673","14.4000000000",
"2016-10-27 00:00","11.49969292","14.5000000000",
"2016-10-28 00:00","11.08507824","15.2000000000",
"2016-10-29 00:00","10.44459438","14.3000000000",
"2016-10-30 00:00","11.18276787","14.2000000000",
"2016-10-31 00:00","10.99822712","14.8000000000",
"2016-11-01 00:00","10.76613426","14.5000000000",
"2016-11-02 00:00","10.75260258","14.5000000000",
"2016-11-03 00:00","10.80099678","14.6000000000",
"2016-11-04 00:00","11.09069157","14.4000000000",
"2016-11-05 00:00","11.0025177","14.3000000000",
"2016-11-06 00:00","10.87350655","13.7000000000",
"2016-11-07 00:00","10.80883884","14.0000000000",
"2016-11-08 00:00","10.83365059","14.6000000000",
"2016-11-09 00:00","10.65554047","14.5000000000",
"2016-11-10 00:00","10.52449417","14.4000000000",
"2016-11-11 00:00","10.28994465","14.2000000000",
"2016-11-12 00:00","9.87795925","13.9000000000",
"2016-11-13 00:00","10.10153484","14.2000000000",
"2016-11-14 00:00","9.96647644","14.4000000000",
"2016-11-15 00:00","10.21750355","14.3000000000",
"2016-11-16 00:00","10.05912781","14.7000000000",
"2016-11-17 00:00","9.99117851","13.7000000000",
"2016-11-18 00:00","9.47615719","14.0000000000",
"2016-11-19 00:00","9.66276073","14.0000000000",
"2016-11-20 00:00","9.57928467","14.2000000000",
"2016-11-21 00:00","9.62081528","14.6000000000",
"2016-11-22 00:00","9.9057169","14.8000000000",
"2016-11-23 00:00","9.84361649","14.6000000000",
"2016-11-24 00:00","9.23167324","14.1000000000",
"2016-11-25 00:00","9.40205097","14.6000000000",
"2016-11-26 00:00","9.3281126","14.5000000000",
