时间,币价,平均单笔手续费
"2016-10-02 00:00","13.19970989","0.0013829400",
"2016-10-03 00:00","13.45236683","0.0015066100",
"2016-10-04 00:00","13.27698708","0.0015380500",
"2016-10-05 00:00","13.03569317","0.0013647500",
"2016-10-06 00:00","12.85433292","0.0012256300",
"2016-10-07 00:00","12.66705894","0.0014959000",
"2016-10-08 00:00","12.21911621","0.0013660300",
"2016-10-09 00:00","12.05368328","0.0012157700",
"2016-10-10 00:00","11.75553703","0.0009548300",
"2016-10-11 00:00","11.78567982","0.0014727800",
"2016-10-12 00:00","11.93353081","0.0034939400",
"2016-10-13 00:00","11.9630022","0.0017913300",
"2016-10-14 00:00","11.93824577","0.0020522500",
"2016-10-15 00:00","11.98343563","0.0019147500",
"2016-10-16 00:00","11.9515667","0.0018759000",
"2016-10-17 00:00","12.0050087","0.0018664200",
"2016-10-18 00:00","12.58848763","0.0024096500",
"2016-10-19 00:00","12.02256203","0.0012649100",
"2016-10-20 00:00","12.098979","0.0007262800",
"2016-10-21 00:00","12.17536449","0.0007322800",
"2016-10-22 00:00","12.07148743","0.0007454800",
"2016-10-23 00:00","12.03603363","0.0009247100",
"2016-10-24 00:00","11.96895885","0.0009072900",
"2016-10-25 00:00","11.41400719","0.0007814600",
"2016-10-26 00:00","11.53199673","0.0007517900",
"2016-10-27 00:00","11.49969292","0.0008644100",
"2016-10-28 00:00","11.08507824","0.0007778500",
"2016-10-29 00:00","10.44459438","0.0007757400",
"2016-10-30 00:00","11.18276787","0.0007420400",
"2016-10-31 00:00","10.99822712","0.0008402400",
"2016-11-01 00:00","10.76613426","0.0006709100",
"2016-11-02 00:00","10.75260258","0.0007014400",
"2016-11-03 00:00","10.80099678","0.0006662600",
"2016-11-04 00:00","11.09069157","0.0006526400",
"2016-11-05 00:00","11.0025177","0.0006770000",
"2016-11-06 00:00","10.87350655","0.0006921600",
"2016-11-07 00:00","10.80883884","0.0007570100",
"2016-11-08 00:00","10.83365059","0.0008634800",
"2016-11-09 00:00","10.65554047","0.0008808200",
"2016-11-10 00:00","10.52449417","0.0010770800",
"2016-11-11 00:00","10.28994465","0.0007513800",
"2016-11-12 00:00","9.87795925","0.0007768300",
"2016-11-13 00:00","10.10153484","0.0008732500",
"2016-11-14 00:00","9.96647644","0.0008168400",
"2016-11-15 00:00","10.21750355","0.0008378300",
"2016-11-16 00:00","10.05912781","0.0007469400",
"2016-11-17 00:00","9.99117851","0.0007925400",
"2016-11-18 00:00","9.47615719","0.0007101300",
"2016-11-19 00:00","9.66276073","0.0007738000",
"2016-11-20 00:00","9.57928467","0.0008248900",
"2016-11-21 00:00","9.62081528","0.0007109200",
"2016-11-22 00:00","9.9057169","0.0012790500",
"2016-11-23 00:00","9.84361649","0.0015977100",
"2016-11-24 00:00","9.23167324","0.0010298700",
"2016-11-25 00:00","9.40205097","0.0017792100",
"2016-11-26 00:00","9.3281126","0.0025853500",
"2016-11-27 00:00","8.99847031","0.0025258200",
"2016-11-28 00:00","8.72482395","0.0021598200",
"2016-11-29 00:00","8.17411613","0.0009015200",
"2016-11-30 00:00","8.58754253","0.0007333600",
"2016-12-01 00:00","8.4525013","0.0006743600",
"2016-12-02 00:00","7.75996161","0.0006265000",
"2016-12-03 00:00","7.92134237","0.0006623900",
"2016-12-04 00:00","7.44367933","0.0007512100",
"2016-12-05 00:00","6.82166243","0.0007204200",
"2016-12-06 00:00","7.86892748","0.0008378700",
"2016-12-07 00:00","8.38148212","0.0200189200",
"2016-12-08 00:00","8.23051453","0.0007583200",
"2016-12-09 00:00","8.44601345","0.0007155900",
"2016-12-10 00:00","8.12516308","0.0009397100",
"2016-12-11 00:00","8.19362354","0.0008062900",
"2016-12-12 00:00","8.52221107","0.0006932800",
"2016-12-13 00:00","8.4228487","0.0007376500",
"2016-12-14 00:00","8.26523495","0.0007467800",
"2016-12-15 00:00","7.82846737","0.0006960700",
"2016-12-16 00:00","7.8582139","0.0008316400",
"2016-12-17 00:00","7.87658596","0.0007566400",
"2016-12-18 00:00","7.86532021","0.0007993900",
"2016-12-19 00:00","7.64382315","0.0009923300",
"2016-12-20 00:00","7.66003942","0.0010778500",
"2016-12-21 00:00","7.91440153","0.0007040500",
"2016-12-22 00:00","7.58500481","0.0006684600",
"2016-12-23 00:00","7.16614914","0.0006837800",
"2016-12-24 00:00","7.2657733","0.0006616700",
"2016-12-25 00:00","7.17507982","0.0006689000",
"2016-12-26 00:00","7.27409172","0.0008590500",
