时间,币价,主力流入,主力流出,散户流入,散户流出,净量
"2021-04-13 09:00","2340.2520680909","8689910846.953938","-8890980683.506685","30345170876.67162","-30174695393.759285","-30594353.640416045",
"2021-04-14 09:00","2462.6697461176","9039628528.97474","-8925037147.102526","29611129271.91679","-29154635958.395245","571084695.3937593",
"2021-04-15 09:00","2429.0702278481","9040238805.970148","-8954970149.25373","35758940298.50746","-35155910447.76119","688298507.4626865",
"2021-04-16 09:00","2349.2365582636","8110148367.952522","-8441869436.20178","26328397626.11276","-26962967359.050446","-966290801.1869435",
"2021-04-17 09:00","2145.1252122133","9121394658.75371","-9208323442.136497","41651735905.04451","-41524910979.228485","39896142.43323442",
"2021-04-18 09:00","2098.1841660074","7480162241.887905","-7648008849.557522","27884734513.274334","-28030250737.463127","-313362831.8584071",
"2021-04-19 09:00","2172.882944709","7315280235.9882","-7629970501.474926","30094144542.77286","-30391858407.079643","-612404129.7935103",
"2021-04-20 09:00","2438.6516518839","8691979166.666668","-8612916666.666668","33149687500","-32352306547.61905","876443452.3809524",
"2021-04-21 09:00","2607.6135466946","9022859281.437126","-8941646706.586826","40867574850.2994","-40671227544.91018","277559880.23952097",
"2021-04-22 09:00","2327.690538432","8973157894.736841","-9126466165.413534","58766466165.41353","-60530977443.60902","-1917819548.8721805",
"2021-04-23 09:00","2248.5480793649","7813065476.190476","-7877217261.904762","32386279761.904762","-33337648809.52381","-1015520833.3333334",
"2021-04-24 09:00","2338.4984009203","7589238805.970149","-7512447761.19403","26894283582.08955","-26635432835.820896","335641791.0447761",
"2021-04-25 09:00","2503.5925456987","8752223880.597015","-8712746268.656715","34007104477.61194","-33949044776.119404","97537313.43283582",
"2021-04-26 09:00","2666.0583367406","8816907993.966818","-8877692307.692308","29853514328.80845","-30004057315.233788","-211327300.15082955",
"2021-04-27 09:00","2679.9969433277","9434588414.634148","-9404268292.682928","33559298780.48781","-33899390243.902443","-309771341.46341467",
"2021-04-28 09:00","2782.9316826221","10378685015.29052","-10252935779.816513","33359311926.605503","-33263058103.975536","222003058.10397553",
"2021-04-29 09:00","2733.029847083","9877208588.957056","-9947055214.723927","30184662576.68712","-30517055214.723927","-402239263.803681",
"2021-04-30 09:00","2862.3222603718","9993184615.384615","-9728661538.461538","28041138461.53846","-27776846153.846153","528815384.61538464",
"2021-05-01 09:00","2931.1219088639","9788547400.61162","-10034327217.125381","29064556574.923546","-29258501529.051987","-439724770.64220184",
"2021-05-02 09:00","3170.9703294061","11785091185.410334","-11628829787.234043","38511656534.95441","-37686702127.65958","981215805.4711246",
"2021-05-03 09:00","3259.8703915628","14669143730.88685","-15112079510.703363","63892813455.65749","-64320183486.23853","-870305810.3975536",
"2021-05-04 09:00","3307.9534015317","13546585735.963581","-13637389984.825493","48905842185.12898","-50013232169.954475","-1198194233.687405",
"2021-05-05 09:00","3555.7964418536","13696240487.062405","-13502846270.928463","40456879756.468796","-40935601217.65601","-285327245.0532724",
"2021-05-06 09:00","3565.1761338199","13554969418.960245","-13492767584.097858","39385366972.477066","-39748685015.29052","-301116207.9510703",
"2021-05-07 09:00","3637.5884538548","14245046012.26994","-14335138036.809816","36044846625.76688","-36925107361.963196","-970352760.7361964",
"2021-05-08 09:00","3878.6748705467","15721206106.87023","-16118442748.091604","48979404580.15267","-48631816793.89313","-49648854.96183206",
"2021-05-09 09:00","4143.0935257398","19129347496.206375","-18677572078.907436","48473247344.4613","-48869089529.59029","55933232.16995448",
"2021-05-10 09:00","4010.7127199041","18296320610.687023","-18002473282.44275","60054610687.0229","-60828076335.87786","-479618320.610687",
"2021-05-11 09:00","4198.1911249214","22031435114.50382","-22113725190.839695","48979832061.0687","-48270625954.19847","626916030.5343511",
"2021-05-12 09:00","3749.3842973945","20586768759.57121","-20642082695.252678","75502143950.9954","-77081776416.53905","-1634946401.2251148",
"2021-05-13 09:00","4136.4368266373","13862208774.583963","-13754810892.586988","52108366111.951584","-52089939485.62783","125824508.32072617",
"2021-05-14 09:00","3877.279587656","13984916540.212444","-14310713201.820942","43745189681.33536","-44818042488.61912","-1398649468.892261",
"2021-05-15 09:00","3639.7107789714","11309317147.192717","-11856267071.320183","40884795144.157814","-42418482549.31715","-2080637329.2867982",
"2021-05-16 09:00","3279.8659605624","11855349544.072948","-12157781155.015198","60720516717.325226","-62839969604.86322","-2421884498.480243",
"2021-05-17 09:00","3349.987596025","11011126331.811262","-11030060882.800608","50386331811.26331","-51424642313.54642","-1057245053.2724504",
"2021-05-18 09:00","2789.8447164914","10825137614.6789","-11870764525.993883","71220948012.23242","-72959174311.9266","-2783853211.0091743",
"2021-05-19 09:00","2908.5140176909","7487314112.29135","-7464491654.021244","59088315629.742035","-59225493171.47193","-114355083.45978756",
"2021-05-20 09:00","2429.4494627696","8264573170.731708","-8490152439.024391","47176524390.243904","-47964786585.36586","-1013841463.4146342",
"2021-05-21 09:00","2376.480361376","5905858895.705522","-6036319018.404908","45830368098.159515","-46445552147.239265","-745644171.7791412",
"2021-05-22 09:00","1923.2001979499","5816001574.80315","-6274500787.401575","39957102362.20473","-40670551181.10236","-1171948031.496063",
"2021-05-23 09:00","2499.5136814023","6646628980.89172","-6720261146.496815","46019904458.598724","-45541719745.22293","404552547.77070063",
"2021-05-24 09:00","2598.4251981117","8278043478.260869","-8358680124.223602","46065217391.304344","-46507763975.15527","-523183229.81366456",
"2021-05-25 09:00","2743.8216052853","8757701863.354036","-8911987577.639751","37887282608.69565","-38125574534.16149","-392577639.75155276",
"2021-05-26 09:00","2808.9406760593","8516458658.3463335","-8497706708.268331","35639859594.38377","-35845070202.80811","-186458658.34633386",
"2021-05-27 09:00","2560.3379323587","8108203125","-8025484375","35396906250","-36038109375","-558484375",
"2021-05-28 09:00","2321.8541175825","7759579439.2523365","-7788629283.489097","33748847352.02492","-33988193146.417446","-268395638.6292835",
"2021-05-29 09:00","2383.4292650166","4909925581.395349","-5088848062.015504","31901596899.224804","-31391906976.744186","330767441.8604651",
"2021-05-30 09:00","2625.3423898329","5854169781.931464","-5788817757.009346","31621869158.878506","-31490373831.7757","196847352.02492213",
"2021-05-31 09:00","2572.5412405293","6325039184.952978","-6607769592.476489","34090485893.416927","-34549310344.82758","-741554858.9341693",
"2021-06-01 09:00","2783.8919616083","6998291536.050157","-6802821316.61442","29101692789.96865","-28972852664.5768","324310344.82758623",
"2021-06-02 09:00","2791.3752506907","9247700787.401575","-9568204724.409449","31893102362.204727","-32288582677.165356","-715984251.968504",
"2021-06-03 09:00","2656.5287010042","9241363636.363636","-8989858934.16928","33218244514.106583","-34044059561.12853","-574310344.8275862",
"2021-06-04 09:00","2648.6953034606","9187570532.915361","-8873667711.598745","31359827586.206898","-31691583072.100315","-17852664.576802507",
"2021-06-05 09:00","2717.3101253008","8127252747.252748","-7533626373.626373","26423642072.2135","-25816891679.74882","1200376766.0910518",
"2021-06-06 09:00","2788.0080918723","8805291338.582678","-8242913385.826772","27934157480.31496","-27820110236.220474","676425196.8503938",
"2021-06-07 09:00","2381.0047940861","9312457231.726284","-9672192846.034216","42624136858.4759","-43627947122.86159","-1363545878.6936238",
"2021-06-08 09:00","2573.5489221797","8532421383.647799","-8286289308.1761","35933364779.874214","-35945880503.14465","233616352.20125785",
"2021-06-09 09:00","2504.8327609397","7999984251.968504","-8031165354.330709","29051968503.937008","-29216740157.480316","-195952755.90551183",
"2021-06-10 09:00","2421.8351706649","7473066037.735848","-7253600628.930818","25216572327.044025","-24781179245.283016","654858490.5660377",
"2021-06-11 09:00","2390.8306749751","7404945054.945055","-7049921507.064364","27363689167.97488","-27066452119.30926","652260596.5463108",
"2021-06-12 09:00","2351.6967922244","6463260188.087774","-6547711598.746081","20561003134.796238","-21185579937.304077","-709028213.1661443",
"2021-06-13 09:00","2573.7800319308","7872515723.27044","-7978474842.767295","25638773584.90566","-26018191823.89937","-485377358.490566",
"2021-06-14 09:00","2550.6338755467","9055370078.740158","-9051338582.677166","24918314960.62992","-25356236220.472443","-433889763.7795276",
"2021-06-15 09:00","2414.6249363187","7955196850.393702","-7952818897.637795","23951842519.68504","-24022299212.598427","-68078740.15748031",
"2021-06-16 09:00","2417.8741877657","6643657770.800628","-6626593406.593407","23898367346.938774","-23784238618.524334","131193092.62166405",
"2021-06-17 09:00","2217.8364815344","5935976562.5","-5752276562.5","23998265625","-24502875000","-320909375",
"2021-06-18 09:00","2245.5030706197","6059782812.5","-6069476562.5","23529062500","-23546968750","-27600000",
"2021-06-19 09:00","2115.369684005","5708566096.4230175","-5612197511.664075","22723328149.300156","-23384650077.760498","-564953343.7013997",
"2021-06-20 09:00","1987.0091413098","6064867507.8864355","-6036649842.271294","35920126182.9653","-36445552050.47319","-497208201.8927445",
"2021-06-21 09:00","1855.1670263731","5864296875","-6433781250","33589078125","-34679015625","-1659421875",
"2021-06-22 09:00","1978.8360891967","6154507042.253521","-6202331768.388106","27000532081.37715","-27050391236.306732","-97683881.06416276",
"2021-06-23 09:00","1991.4570158833","4989655172.413794","-5052388714.733542","20266959247.648903","-20435564263.322884","-231338557.99373043",
"2021-06-24 09:00","1829.6572082741","5168321875","-5396362500","22192843750","-23099343750","-1134540625",
"2021-06-25 09:00","1776.3433195658","4643936037.441498","-4471014040.561623","24374446177.847115","-24388829953.198128","158538221.52886117",
"2021-06-26 09:00","1841.6287155615","3777580594.6791863","-3942599374.021909","18435743348.982788","-18873755868.5446","-603031298.9045384",
"2021-06-27 09:00","2114.3780685172","5073012539.184953","-4885152037.617555","24799310344.827587","-24202758620.689655","784412225.7053292",
"2021-06-28 09:00","2216.50792291","6386212832.550861","-6416306729.264476","25804726134.58529","-26118528951.4867","-343896713.6150235",
"2021-06-29 09:00","2103.3942281724","5917414710.485133","-6026236306.729265","23057245696.400627","-23883615023.47418","-935190923.3176839",
"2021-06-30 09:00","2120.4984278237","9454866979.655712","-9351126760.563381","27340234741.78404","-27852582159.624416","-408607198.74804384",
"2021-07-01 09:00","2117.3168761596","5616341653.666146","-5726076443.057722","23487706708.26833","-23406801872.074883","-28829953.198127925",
"2021-07-02 09:00","2226.6077969809","5310266770.670827","-5509945397.815912","20159391575.663025","-20676583463.33853","-716870514.8205928",
"2021-07-03 09:00","2330.2471069614","5563301092.043682","-5891274570.98284","19804898595.943836","-20388783151.326054","-911858034.3213729",
"2021-07-04 09:00","2211.5147514474","6292421216.848674","-6832589703.588143","24791170046.801872","-25715054602.184086","-1464053042.1216848",
"2021-07-05 09:00","2305.6491253931","5651926677.067082","-5818672386.895475","26776177847.113884","-27215990639.625584","-606558502.3400936",
"2021-07-06 09:00","2340.0485091611","6575383411.580595","-6649436619.71831","22816838810.64163","-23271173708.92019","-528388106.41627544",
"2021-07-07 09:00","2175.1577794618","6226157320.872274","-6369481308.411215","25649439252.33645","-25883302180.68536","-377186915.88785046",
"2021-07-08 09:00","2176.6534966348","5909297507.788162","-5816764797.507789","25273925233.64486","-24976355140.186916","390102803.7383178",
"2021-07-09 09:00","2120.2913666526","6512850467.28972","-5970679127.725857","20759517133.956387","-20674595015.576324","627093457.9439253",
