时间,币价,交易笔数
"2016-09-20 00:00","14.43027496","44549.0000000000",
"2016-09-21 00:00","13.76851273","52657.0000000000",
"2016-09-22 00:00","13.24758434","35219.0000000000",
"2016-09-23 00:00","13.3313179","43418.0000000000",
"2016-09-24 00:00","12.87793636","38713.0000000000",
"2016-09-25 00:00","13.10085487","43514.0000000000",
"2016-09-26 00:00","12.8230505","46817.0000000000",
"2016-09-27 00:00","13.09827995","42797.0000000000",
"2016-09-28 00:00","13.27484035","40416.0000000000",
"2016-09-29 00:00","13.07335472","35836.0000000000",
"2016-09-30 00:00","13.22480297","53076.0000000000",
"2016-10-01 00:00","13.17269611","51105.0000000000",
"2016-10-02 00:00","13.19970989","47672.0000000000",
"2016-10-03 00:00","13.45236683","56662.0000000000",
"2016-10-04 00:00","13.27698708","41719.0000000000",
"2016-10-05 00:00","13.03569317","36826.0000000000",
"2016-10-06 00:00","12.85433292","43708.0000000000",
"2016-10-07 00:00","12.66705894","37690.0000000000",
"2016-10-08 00:00","12.21911621","43940.0000000000",
"2016-10-09 00:00","12.05368328","44940.0000000000",
"2016-10-10 00:00","11.75553703","41053.0000000000",
"2016-10-11 00:00","11.78567982","30002.0000000000",
"2016-10-12 00:00","11.93353081","32244.0000000000",
"2016-10-13 00:00","11.9630022","42006.0000000000",
"2016-10-14 00:00","11.93824577","33662.0000000000",
"2016-10-15 00:00","11.98343563","34990.0000000000",
"2016-10-16 00:00","11.9515667","38136.0000000000",
"2016-10-17 00:00","12.0050087","51898.0000000000",
"2016-10-18 00:00","12.58848763","38497.0000000000",
"2016-10-19 00:00","12.02256203","43438.0000000000",
"2016-10-20 00:00","12.098979","57780.0000000000",
"2016-10-21 00:00","12.17536449","37772.0000000000",
"2016-10-22 00:00","12.07148743","35364.0000000000",
"2016-10-23 00:00","12.03603363","52547.0000000000",
"2016-10-24 00:00","11.96895885","47610.0000000000",
"2016-10-25 00:00","11.41400719","45158.0000000000",
