时间,币价,挖币数量
"2016-07-05 00:00","10.61136818","30544.0000000000",
"2016-07-06 00:00","10.52893353","30274.0000000000",
"2016-07-07 00:00","10.10936642","30096.0000000000",
"2016-07-08 00:00","11.39457512","30764.0000000000",
"2016-07-09 00:00","10.96547318","30325.0000000000",
"2016-07-10 00:00","10.94762325","30246.0000000000",
"2016-07-11 00:00","10.45902729","30130.0000000000",
"2016-07-12 00:00","10.51609421","30522.0000000000",
"2016-07-13 00:00","10.50051498","30108.0000000000",
"2016-07-14 00:00","11.51319122","30045.0000000000",
"2016-07-15 00:00","11.95162392","30498.0000000000",
"2016-07-16 00:00","11.65283012","30229.0000000000",
"2016-07-17 00:00","11.15869617","30648.0000000000",
"2016-07-18 00:00","11.03442764","29955.0000000000",
"2016-07-19 00:00","11.61912441","29890.0000000000",
"2016-07-20 00:00","12.45060062","30882.0000000000",
"2016-07-21 00:00","12.65074444","29896.0000000000",
"2016-07-22 00:00","14.66192436","30571.0000000000",
"2016-07-23 00:00","14.29966831","29791.0000000000",
"2016-07-24 00:00","12.74947929","30259.0000000000",
"2016-07-25 00:00","13.83611584","29156.0000000000",
"2016-07-26 00:00","11.98951626","30992.0000000000",
"2016-07-27 00:00","12.97279072","30544.0000000000",
"2016-07-28 00:00","12.84363079","30019.0000000000",
"2016-07-29 00:00","12.79463482","30002.0000000000",
"2016-07-30 00:00","12.46101952","30254.0000000000",
"2016-07-31 00:00","11.87594414","29904.0000000000",
"2016-08-01 00:00","10.94160366","29575.0000000000",
"2016-08-02 00:00","8.78727818","30021.0000000000",
"2016-08-03 00:00","10.29389095","31065.0000000000",
"2016-08-04 00:00","11.0427866","30427.0000000000",
"2016-08-05 00:00","10.92538166","29981.0000000000",
"2016-08-06 00:00","10.88107681","30485.0000000000",
"2016-08-07 00:00","10.91155529","30421.0000000000",
"2016-08-08 00:00","11.2454319","30759.0000000000",
"2016-08-09 00:00","12.2443018","30376.0000000000",
"2016-08-10 00:00","12.14320564","30443.0000000000",
"2016-08-11 00:00","11.69089794","30179.0000000000",
"2016-08-12 00:00","11.77854824","30255.0000000000",
"2016-08-13 00:00","11.57128239","30263.0000000000",
"2016-08-14 00:00","11.19476032","30549.0000000000",
"2016-08-15 00:00","11.21837139","30368.0000000000",
"2016-08-16 00:00","11.13965511","30148.0000000000",
"2016-08-17 00:00","10.75275326","30625.0000000000",
"2016-08-18 00:00","10.75610638","30168.0000000000",
"2016-08-19 00:00","10.74868679","30378.0000000000",
"2016-08-20 00:00","11.24738789","30538.0000000000",
"2016-08-21 00:00","11.17916775","30494.0000000000",
"2016-08-22 00:00","11.12092113","30229.0000000000",
"2016-08-23 00:00","11.03055477","30373.0000000000",
"2016-08-24 00:00","11.03602505","30568.0000000000",
"2016-08-25 00:00","11.35740757","30133.0000000000",
"2016-08-26 00:00","11.29538727","30484.0000000000",
"2016-08-27 00:00","11.1482029","30273.0000000000",
"2016-08-28 00:00","10.92926788","30172.0000000000",
"2016-08-29 00:00","10.98382664","30230.0000000000",
"2016-08-30 00:00","11.22885418","30465.0000000000",
"2016-08-31 00:00","11.67238045","30047.0000000000",
"2016-09-01 00:00","11.99490738","30561.0000000000",
"2016-09-02 00:00","12.11295128","29840.0000000000",
"2016-09-03 00:00","11.75873947","30232.0000000000",
"2016-09-04 00:00","11.67991734","30480.0000000000",
"2016-09-05 00:00","11.71703339","30065.0000000000",
"2016-09-06 00:00","11.68914032","30690.0000000000",
"2016-09-07 00:00","11.54791069","30193.0000000000",
"2016-09-08 00:00","11.34593678","30484.0000000000",
"2016-09-09 00:00","11.65284252","30094.0000000000",
"2016-09-10 00:00","12.1684866","30568.0000000000",
"2016-09-11 00:00","11.63843155","30425.0000000000",
"2016-09-12 00:00","11.89369202","30118.0000000000",
"2016-09-13 00:00","11.91872501","30572.0000000000",
"2016-09-14 00:00","11.92320633","30271.0000000000",
"2016-09-15 00:00","11.93702698","30447.0000000000",
"2016-09-16 00:00","12.55577183","30332.0000000000",
"2016-09-17 00:00","12.69864559","28086.0000000000",
"2016-09-18 00:00","12.43123531","32177.0000000000",
"2016-09-19 00:00","13.18900108","30942.0000000000",
"2016-09-20 00:00","14.43027496","30418.0000000000",
"2016-09-21 00:00","13.76851273","28925.0000000000",
"2016-09-22 00:00","13.24758434","31314.0000000000",
"2016-09-23 00:00","13.3313179","29628.0000000000",
"2016-09-24 00:00","12.87793636","31536.0000000000",
"2016-09-25 00:00","13.10085487","29467.0000000000",
"2016-09-26 00:00","12.8230505","30587.0000000000",
"2016-09-27 00:00","13.09827995","30679.0000000000",
"2016-09-28 00:00","13.27484035","30743.0000000000",
"2016-09-29 00:00","13.07335472","30147.0000000000",
"2016-09-30 00:00","13.22480297","29226.0000000000",
"2016-10-01 00:00","13.17269611","30653.0000000000",
"2016-10-02 00:00","13.19970989","31189.0000000000",
"2016-10-03 00:00","13.45236683","30553.0000000000",
"2016-10-04 00:00","13.27698708","29341.0000000000",
"2016-10-05 00:00","13.03569317","29955.0000000000",
"2016-10-06 00:00","12.85433292","29807.0000000000",
"2016-10-07 00:00","12.66705894","31274.0000000000",
"2016-10-08 00:00","12.21911621","30442.0000000000",
"2016-10-09 00:00","12.05368328","30386.0000000000",
"2016-10-10 00:00","11.75553703","30388.0000000000",
"2016-10-11 00:00","11.78567982","29745.0000000000",
"2016-10-12 00:00","11.93353081","30871.0000000000",
"2016-10-13 00:00","11.9630022","30580.0000000000",
"2016-10-14 00:00","11.93824577","30295.0000000000",
