date,block_count
2016-12-21 00:00,5956.0000000000
2016-12-22 00:00,5954.0000000000
2016-12-23 00:00,6006.0000000000
2016-12-24 00:00,6127.0000000000
2016-12-25 00:00,6066.0000000000
2016-12-26 00:00,5998.0000000000
2016-12-27 00:00,6056.0000000000
2016-12-28 00:00,6082.0000000000
2016-12-29 00:00,6063.0000000000
2016-12-30 00:00,5993.0000000000
2016-12-31 00:00,6111.0000000000
2017-01-01 00:00,6058.0000000000
2017-01-02 00:00,6035.0000000000
2017-01-03 00:00,6141.0000000000
2017-01-04 00:00,6091.0000000000
2017-01-05 00:00,6009.0000000000
2017-01-06 00:00,6108.0000000000
2017-01-07 00:00,6074.0000000000
2017-01-08 00:00,6082.0000000000
2017-01-09 00:00,6030.0000000000
2017-01-10 00:00,6047.0000000000
2017-01-11 00:00,6056.0000000000
2017-01-12 00:00,6106.0000000000
2017-01-13 00:00,6067.0000000000
2017-01-14 00:00,6085.0000000000
2017-01-15 00:00,6052.0000000000
2017-01-16 00:00,6002.0000000000
2017-01-17 00:00,6065.0000000000
2017-01-18 00:00,6158.0000000000
2017-01-19 00:00,5963.0000000000
2017-01-20 00:00,6046.0000000000
2017-01-21 00:00,6065.0000000000
2017-01-22 00:00,6048.0000000000
2017-01-23 00:00,6037.0000000000
2017-01-24 00:00,6010.0000000000
2017-01-25 00:00,6081.0000000000
2017-01-26 00:00,5985.0000000000
2017-01-27 00:00,6063.0000000000
2017-01-28 00:00,5960.0000000000
2017-01-29 00:00,6094.0000000000
2017-01-30 00:00,6018.0000000000
2017-01-31 00:00,6009.0000000000
2017-02-01 00:00,6047.0000000000
2017-02-02 00:00,5990.0000000000
2017-02-03 00:00,6078.0000000000
2017-02-04 00:00,6077.0000000000
2017-02-05 00:00,6050.0000000000
2017-02-06 00:00,5998.0000000000
2017-02-07 00:00,6067.0000000000
2017-02-08 00:00,6029.0000000000
2017-02-09 00:00,6040.0000000000
2017-02-10 00:00,6038.0000000000
2017-02-11 00:00,6059.0000000000
2017-02-12 00:00,6070.0000000000
2017-02-13 00:00,6023.0000000000
2017-02-14 00:00,6089.0000000000
2017-02-15 00:00,6052.0000000000
2017-02-16 00:00,6012.0000000000
2017-02-17 00:00,5999.0000000000
2017-02-18 00:00,6019.0000000000
2017-02-19 00:00,6015.0000000000
2017-02-20 00:00,6052.0000000000
2017-02-21 00:00,5968.0000000000
2017-02-22 00:00,6019.0000000000
2017-02-23 00:00,6011.0000000000
2017-02-24 00:00,6039.0000000000
2017-02-25 00:00,6089.0000000000
2017-02-26 00:00,5988.0000000000
2017-02-27 00:00,6107.0000000000
2017-02-28 00:00,5958.0000000000
2017-03-01 00:00,6061.0000000000
2017-03-02 00:00,6006.0000000000
2017-03-03 00:00,5985.0000000000
2017-03-04 00:00,6073.0000000000
2017-03-05 00:00,5977.0000000000
2017-03-06 00:00,5978.0000000000
2017-03-07 00:00,6016.0000000000
2017-03-08 00:00,5928.0000000000
2017-03-09 00:00,5953.0000000000
2017-03-10 00:00,6002.0000000000
2017-03-11 00:00,5919.0000000000
2017-03-12 00:00,6040.0000000000
2017-03-13 00:00,5961.0000000000
2017-03-14 00:00,5986.0000000000
2017-03-15 00:00,5990.0000000000
2017-03-16 00:00,6046.0000000000
2017-03-17 00:00,5991.0000000000
2017-03-18 00:00,5950.0000000000
2017-03-19 00:00,6066.0000000000
2017-03-20 00:00,5957.0000000000
2017-03-21 00:00,6008.0000000000
2017-03-22 00:00,5914.0000000000
2017-03-23 00:00,5913.0000000000
2017-03-24 00:00,5962.0000000000
2017-03-25 00:00,5981.0000000000
2017-03-26 00:00,5951.0000000000
2017-03-27 00:00,5900.0000000000
2017-03-28 00:00,5988.0000000000
2017-03-29 00:00,5910.0000000000
2017-03-30 00:00,5971.0000000000
2017-03-31 00:00,5926.0000000000
2017-04-01 00:00,5846.0000000000
2017-04-02 00:00,5979.0000000000
2017-04-03 00:00,5932.0000000000
2017-04-04 00:00,5986.0000000000
2017-04-05 00:00,5880.0000000000
2017-04-06 00:00,5946.0000000000
2017-04-07 00:00,5936.0000000000
2017-04-08 00:00,5797.0000000000
2017-04-09 00:00,5758.0000000000
2017-04-10 00:00,5849.0000000000
2017-04-11 00:00,5779.0000000000
2017-04-12 00:00,5798.0000000000
2017-04-13 00:00,5908.0000000000
2017-04-14 00:00,5721.0000000000
2017-04-15 00:00,5820.0000000000
2017-04-16 00:00,5861.0000000000
2017-04-17 00:00,5861.0000000000
2017-04-18 00:00,5718.0000000000
2017-04-19 00:00,5859.0000000000
