date,daily_uncle_block_reward
2017-05-29 00:00,340729.5500000000
2017-05-30 00:00,332343.8100000000
2017-05-31 00:00,371751.6400000000
2017-06-01 00:00,294975.8100000000
2017-06-02 00:00,317724.6700000000
2017-06-03 00:00,305008.4200000000
2017-06-04 00:00,367869.8800000000
2017-06-05 00:00,342399.1400000000
2017-06-06 00:00,393468.4000000000
2017-06-07 00:00,394671.4900000000
2017-06-08 00:00,389168.4700000000
2017-06-09 00:00,396222.6000000000
2017-06-10 00:00,512875.3400000000
2017-06-11 00:00,626563.3900000000
2017-06-12 00:00,685255.3300000000
2017-06-13 00:00,676828.1000000000
2017-06-14 00:00,591602.8200000000
2017-06-15 00:00,540476.8200000000
2017-06-16 00:00,677728.3500000000
2017-06-17 00:00,664273.0900000000
2017-06-18 00:00,710288.5100000000
2017-06-19 00:00,667869.1000000000
2017-06-20 00:00,598646.0300000000
2017-06-21 00:00,588205.2100000000
2017-06-22 00:00,539204.0100000000
2017-06-23 00:00,588111.9800000000
2017-06-24 00:00,561818.2700000000
2017-06-25 00:00,577104.5900000000
2017-06-26 00:00,396857.3100000000
2017-06-27 00:00,531525.8800000000
2017-06-28 00:00,566794.1100000000
2017-06-29 00:00,490929.2400000000
2017-06-30 00:00,444116.8900000000
2017-07-01 00:00,398904.6400000000
2017-07-02 00:00,516916.3700000000
2017-07-03 00:00,538650.3800000000
2017-07-04 00:00,465094.4000000000
2017-07-05 00:00,442723.7900000000
2017-07-06 00:00,453439.2200000000
2017-07-07 00:00,384355.6800000000
2017-07-08 00:00,344115.3600000000
2017-07-09 00:00,318746.5000000000
2017-07-10 00:00,269220.6000000000
2017-07-12 00:00,251721.8400000000
2017-07-13 00:00,250564.3600000000
2017-07-14 00:00,213869.9900000000
2017-07-15 00:00,194796.2600000000
2017-07-16 00:00,175645.1900000000
2017-07-17 00:00,208903.5700000000
2017-07-18 00:00,299945.3900000000
2017-07-19 00:00,267984.1400000000
2017-07-20 00:00,245245.3200000000
2017-07-21 00:00,219306.1600000000
2017-07-22 00:00,260021.4400000000
2017-07-23 00:00,251880.9100000000
2017-07-24 00:00,271118.2600000000
2017-07-25 00:00,244631.5800000000
2017-07-26 00:00,229565.7400000000
2017-07-27 00:00,284005.9500000000
2017-07-28 00:00,202156.7300000000
2017-07-29 00:00,226022.1800000000
2017-07-30 00:00,265183.9300000000
2017-07-31 00:00,191035.5300000000
2017-08-01 00:00,198061.4000000000
2017-08-02 00:00,229653.3700000000
2017-08-03 00:00,238458.9600000000
2017-08-04 00:00,217203.3900000000
2017-08-05 00:00,263991.9400000000
2017-08-06 00:00,296018.4500000000
2017-08-07 00:00,299928.6300000000
2017-08-08 00:00,332221.1700000000
2017-08-09 00:00,381608.7200000000
2017-08-10 00:00,399317.2900000000
2017-08-11 00:00,392241.3600000000
2017-08-12 00:00,412029.0600000000
