date,avg_computing_power
2018-11-17 00:00,237365964822080.0000000000
2018-11-18 00:00,234633578976250.0000000000
2018-11-19 00:00,230295242437720.0000000000
2018-11-20 00:00,221566796082300.0000000000
2018-11-21 00:00,215689547905340.0000000000
2018-11-22 00:00,218429979513000.0000000000
2018-11-23 00:00,216033459063090.0000000000
2018-11-24 00:00,212245886270272.0000000000
2018-11-25 00:00,212100501218170.0000000000
2018-11-26 00:00,195092609882560.0000000000
2018-11-27 00:00,187564003664410.0000000000
2018-11-28 00:00,190638762929750.0000000000
2018-11-29 00:00,189671498488230.0000000000
2018-11-30 00:00,194448985034110.0000000000
2018-12-01 00:00,186147631508180.0000000000
2018-12-02 00:00,185696072355580.0000000000
2018-12-03 00:00,189767464721670.0000000000
2018-12-04 00:00,185166751954510.0000000000
2018-12-05 00:00,188464769426230.0000000000
2018-12-06 00:00,180036274466300.0000000000
2018-12-07 00:00,176329496098100.0000000000
2018-12-08 00:00,174779146367420.0000000000
2018-12-09 00:00,184569782198800.0000000000
2018-12-10 00:00,177711738862680.0000000000
2018-12-11 00:00,172762924194380.0000000000
2018-12-12 00:00,171176084989920.0000000000
2018-12-13 00:00,167949464257290.0000000000
2018-12-14 00:00,171972615485070.0000000000
2018-12-15 00:00,169428638302090.0000000000
2018-12-16 00:00,166813938769800.0000000000
2018-12-17 00:00,163330446297180.0000000000
2018-12-18 00:00,165210546673420.0000000000
2018-12-19 00:00,164230891976020.0000000000
2018-12-20 00:00,166134908766410.0000000000
2018-12-21 00:00,168324969691470.0000000000
2018-12-22 00:00,169314561043410.0000000000
2018-12-23 00:00,177120199715160.0000000000
2018-12-24 00:00,182556771293750.0000000000
2018-12-25 00:00,189650114779800.0000000000
2018-12-26 00:00,184493827712440.0000000000
2018-12-27 00:00,181439076633581.0000000000
2018-12-28 00:00,182096863505260.0000000000
2018-12-29 00:00,183080717609180.0000000000
2018-12-30 00:00,185549892873690.0000000000
2018-12-31 00:00,174832246186400.0000000000
2019-01-01 00:00,180860689910100.0000000000
2019-01-02 00:00,181235777835320.0000000000
2019-01-03 00:00,180422356371150.0000000000
2019-01-04 00:00,185492837267620.0000000000
2019-01-05 00:00,187147617866760.0000000000
2019-01-06 00:00,190299031086600.0000000000
2019-01-07 00:00,184975053074820.0000000000
2019-01-08 00:00,190204811642950.0000000000
2019-01-09 00:00,186249201355220.0000000000
2019-01-10 00:00,186799922252190.0000000000
2019-01-11 00:00,181132806944500.0000000000
2019-01-12 00:00,182513524853340.0000000000
2019-01-13 00:00,184944123912811.0000000000
2019-01-14 00:00,188705698141580.0000000000
2019-01-15 00:00,179519366955960.0000000000
2019-01-16 00:00,177726193236590.0000000000
2019-01-17 00:00,177734368509050.0000000000
2019-01-18 00:00,184502025173820.0000000000
2019-01-19 00:00,184523995389220.0000000000
2019-01-20 00:00,178144583052380.0000000000
2019-01-21 00:00,180012991253680.0000000000
2019-01-22 00:00,168485386774165.0000000000
2019-01-23 00:00,175251010693270.0000000000
2019-01-24 00:00,175633126944540.0000000000
2019-01-25 00:00,170991273525800.0000000000
2019-01-26 00:00,168655951590300.0000000000
2019-01-27 00:00,155949804676350.0000000000
2019-01-28 00:00,146870917913300.0000000000
2019-01-29 00:00,145290375271490.0000000000
2019-01-30 00:00,150015460778650.0000000000
2019-01-31 00:00,143109055776050.0000000000
2019-02-01 00:00,143029268639930.0000000000
2019-02-02 00:00,139148727195760.0000000000
2019-02-03 00:00,141056080280040.0000000000
2019-02-04 00:00,141589112988700.0000000000
2019-02-05 00:00,139433918775590.0000000000
2019-02-06 00:00,139445298527960.0000000000
2019-02-07 00:00,142456070998440.0000000000
2019-02-08 00:00,141181235002700.0000000000
2019-02-09 00:00,145117075009250.0000000000
2019-02-10 00:00,142234953555800.0000000000
2019-02-11 00:00,147544989321910.0000000000
2019-02-12 00:00,142560806564260.0000000000
2019-02-13 00:00,140321756540860.0000000000
2019-02-14 00:00,139948556116370.0000000000
2019-02-15 00:00,144003389683360.0000000000
2019-02-16 00:00,140514136522180.0000000000
2019-02-17 00:00,144779062825570.0000000000
2019-02-18 00:00,154084794650570.0000000000
2019-02-19 00:00,152914323494160.0000000000
2019-02-20 00:00,152029718604820.0000000000
