date,new_addresses
2016-11-25 00:00,3223.0000000000
2016-11-26 00:00,2826.0000000000
2016-11-27 00:00,1706.0000000000
2016-11-28 00:00,1767.0000000000
2016-11-29 00:00,1849.0000000000
2016-11-30 00:00,1669.0000000000
2016-12-01 00:00,3414.0000000000
2016-12-02 00:00,6401.0000000000
2016-12-03 00:00,5571.0000000000
2016-12-04 00:00,6700.0000000000
2016-12-05 00:00,2585.0000000000
2016-12-06 00:00,1968.0000000000
2016-12-07 00:00,1691.0000000000
2016-12-08 00:00,1813.0000000000
2016-12-09 00:00,3391.0000000000
2016-12-10 00:00,2692.0000000000
2016-12-11 00:00,1752.0000000000
2016-12-12 00:00,1602.0000000000
2016-12-13 00:00,3245.0000000000
2016-12-14 00:00,3902.0000000000
2016-12-15 00:00,1887.0000000000
2016-12-16 00:00,3100.0000000000
2016-12-17 00:00,2088.0000000000
2016-12-18 00:00,2110.0000000000
2016-12-19 00:00,2310.0000000000
2016-12-20 00:00,1921.0000000000
2016-12-21 00:00,9012.0000000000
2016-12-22 00:00,4129.0000000000
2016-12-23 00:00,1777.0000000000
2016-12-24 00:00,1293.0000000000
2016-12-25 00:00,1401.0000000000
2016-12-26 00:00,1702.0000000000
2016-12-27 00:00,1991.0000000000
2016-12-28 00:00,2616.0000000000
2016-12-29 00:00,2423.0000000000
2016-12-30 00:00,2954.0000000000
2016-12-31 00:00,1604.0000000000
2017-01-01 00:00,2259.0000000000
2017-01-02 00:00,2665.0000000000
2017-01-03 00:00,3582.0000000000
2017-01-04 00:00,3330.0000000000
2017-01-05 00:00,3316.0000000000
2017-01-06 00:00,2716.0000000000
2017-01-07 00:00,2243.0000000000
2017-01-08 00:00,2442.0000000000
2017-01-09 00:00,2341.0000000000
2017-01-10 00:00,2287.0000000000
2017-01-11 00:00,3611.0000000000
2017-01-12 00:00,3676.0000000000
2017-01-13 00:00,3460.0000000000
2017-01-14 00:00,2426.0000000000
2017-01-15 00:00,2559.0000000000
2017-01-16 00:00,2734.0000000000
2017-01-17 00:00,2602.0000000000
2017-01-18 00:00,2605.0000000000
2017-01-19 00:00,3116.0000000000
2017-01-20 00:00,2391.0000000000
2017-01-21 00:00,2636.0000000000
2017-01-22 00:00,2721.0000000000
2017-01-23 00:00,2434.0000000000
2017-01-24 00:00,2502.0000000000
2017-01-25 00:00,3234.0000000000
2017-01-26 00:00,2396.0000000000
2017-01-27 00:00,2689.0000000000
2017-01-28 00:00,2135.0000000000
2017-01-29 00:00,2638.0000000000
2017-01-30 00:00,1791.0000000000
2017-01-31 00:00,1978.0000000000
2017-02-01 00:00,1981.0000000000
2017-02-02 00:00,1846.0000000000
2017-02-03 00:00,2217.0000000000
2017-02-04 00:00,1834.0000000000
2017-02-05 00:00,1696.0000000000
2017-02-06 00:00,2215.0000000000
2017-02-07 00:00,2562.0000000000
2017-02-08 00:00,1922.0000000000
2017-02-09 00:00,2069.0000000000
2017-02-10 00:00,1995.0000000000
2017-02-11 00:00,2650.0000000000
2017-02-12 00:00,2225.0000000000
2017-02-13 00:00,2838.0000000000
2017-02-14 00:00,2786.0000000000
2017-02-15 00:00,2154.0000000000
2017-02-16 00:00,2128.0000000000
2017-02-17 00:00,2964.0000000000
2017-02-18 00:00,2062.0000000000
2017-02-19 00:00,2517.0000000000
2017-02-20 00:00,3079.0000000000
2017-02-21 00:00,2390.0000000000
2017-02-22 00:00,2366.0000000000
2017-02-23 00:00,2721.0000000000
2017-02-24 00:00,3704.0000000000
2017-02-25 00:00,2436.0000000000
2017-02-26 00:00,3385.0000000000
2017-02-27 00:00,4516.0000000000
2017-02-28 00:00,6999.0000000000
2017-03-01 00:00,6502.0000000000
2017-03-02 00:00,6988.0000000000
2017-03-03 00:00,4331.0000000000
2017-03-04 00:00,4075.0000000000
2017-03-05 00:00,4665.0000000000
2017-03-06 00:00,3834.0000000000
2017-03-07 00:00,4296.0000000000
2017-03-08 00:00,6622.0000000000
2017-03-09 00:00,6143.0000000000
2017-03-10 00:00,6132.0000000000
2017-03-11 00:00,7373.0000000000
2017-03-12 00:00,11892.0000000000
2017-03-13 00:00,9654.0000000000
2017-03-14 00:00,10582.0000000000
2017-03-15 00:00,17727.0000000000
2017-03-16 00:00,15764.0000000000
2017-03-17 00:00,12154.0000000000
2017-03-18 00:00,8651.0000000000
2017-03-19 00:00,9281.0000000000
2017-03-20 00:00,10215.0000000000
2017-03-21 00:00,8309.0000000000
2017-03-22 00:00,8110.0000000000
2017-03-23 00:00,11472.0000000000
2017-03-24 00:00,9602.0000000000
2017-03-25 00:00,7403.0000000000
2017-03-26 00:00,12657.0000000000
2017-03-27 00:00,9044.0000000000
2017-03-28 00:00,15068.0000000000
2017-03-29 00:00,15102.0000000000
2017-03-30 00:00,14419.0000000000
2017-03-31 00:00,7797.0000000000
2017-04-01 00:00,10370.0000000000
2017-04-02 00:00,12989.0000000000
2017-04-03 00:00,10228.0000000000
2017-04-04 00:00,10494.0000000000
2017-04-05 00:00,13923.0000000000
2017-04-06 00:00,8258.0000000000
2017-04-07 00:00,6859.0000000000
2017-04-08 00:00,6100.0000000000
2017-04-09 00:00,7404.0000000000
2017-04-10 00:00,7125.0000000000
2017-04-11 00:00,10098.0000000000
2017-04-12 00:00,8448.0000000000
2017-04-13 00:00,7228.0000000000
2017-04-14 00:00,6638.0000000000
2017-04-15 00:00,4629.0000000000
2017-04-16 00:00,6489.0000000000
2017-04-17 00:00,8765.0000000000
2017-04-18 00:00,9128.0000000000
2017-04-19 00:00,9995.0000000000
2017-04-20 00:00,11297.0000000000
2017-04-21 00:00,7797.0000000000
2017-04-22 00:00,6733.0000000000
2017-04-23 00:00,9931.0000000000
2017-04-24 00:00,8259.0000000000
2017-04-25 00:00,16715.0000000000
2017-04-26 00:00,16444.0000000000
2017-04-27 00:00,12673.0000000000
2017-04-28 00:00,11023.0000000000
2017-04-29 00:00,12275.0000000000
2017-04-30 00:00,21710.0000000000
2017-05-01 00:00,15661.0000000000
2017-05-02 00:00,12060.0000000000
2017-05-03 00:00,18838.0000000000
2017-05-04 00:00,15858.0000000000
2017-05-05 00:00,15472.0000000000
2017-05-06 00:00,19210.0000000000
2017-05-07 00:00,19117.0000000000
2017-05-08 00:00,20436.0000000000
2017-05-09 00:00,20637.0000000000
2017-05-10 00:00,19806.0000000000
2017-05-11 00:00,16728.0000000000
2017-05-12 00:00,14389.0000000000
2017-05-13 00:00,13872.0000000000
2017-05-14 00:00,18062.0000000000
2017-05-15 00:00,20786.0000000000
2017-05-16 00:00,23072.0000000000
2017-05-17 00:00,22494.0000000000
2017-05-18 00:00,29283.0000000000
2017-05-19 00:00,23922.0000000000
2017-05-20 00:00,24922.0000000000
2017-05-21 00:00,33532.0000000000
2017-05-22 00:00,45220.0000000000
2017-05-23 00:00,43015.0000000000
2017-05-24 00:00,39587.0000000000
2017-05-25 00:00,34772.0000000000
2017-05-26 00:00,27432.0000000000
2017-05-27 00:00,26385.0000000000
2017-05-28 00:00,29292.0000000000
2017-05-29 00:00,44207.0000000000
2017-05-30 00:00,45567.0000000000
2017-05-31 00:00,39799.0000000000
2017-06-01 00:00,47647.0000000000
2017-06-02 00:00,35094.0000000000
2017-06-03 00:00,36188.0000000000
2017-06-04 00:00,38676.0000000000
2017-06-05 00:00,44206.0000000000
2017-06-06 00:00,46127.0000000000
2017-06-07 00:00,38663.0000000000
2017-06-08 00:00,43474.0000000000
2017-06-09 00:00,43931.0000000000
2017-06-10 00:00,56618.0000000000
2017-06-11 00:00,60116.0000000000
2017-06-12 00:00,60658.0000000000
