,margin_call_s,margin_call_m,margin_call_l,margin_call_x,short_margin_call,long_margin_call,date
235,10990722.5,25275089.0,0.0,0.0,14284224.0,21981587.5,2021-02-14 00:00
236,22817534.2,67980954.0,2675557.0,0.0,85974893.0,7499152.2,2021-02-15 00:00
237,16282992.5,45657725.0,969431.56,0.0,53290318.56,9619830.5,2021-02-16 00:00
238,21455098.5,72331188.0,2365262.2,0.0,78115210.2,18036338.5,2021-02-17 00:00
239,5759105.4,15878257.5,929765.4,0.0,17138233.4,5428894.9,2021-02-18 00:00
240,6036468.3,10954194.0,0.0,0.0,7633074.5,9357587.8,2021-02-19 00:00
241,13307602.0,36819418.0,981619.9,0.0,24920298.0,26188341.9,2021-02-20 00:00
242,19833341.5,50962448.8,2636380.0,0.0,66907550.0,6524620.3,2021-02-21 00:00
243,13299792.5,32432586.0,0.0,0.0,29862566.0,15869812.5,2021-02-22 00:00
244,8262482.5,17053134.0,0.0,0.0,14109953.0,11205663.5,2021-02-23 00:00
245,8668569.8,24755930.0,0.0,0.0,19815034.0,13609465.8,2021-02-24 00:00
246,6024387.6,19402549.2,0.0,0.0,21934953.5,3491983.3000000003,2021-02-25 00:00
247,4855837.34,11291336.7,0.0,0.0,15117617.0,1029557.04,2021-02-26 00:00
248,4139854.94,10458781.0,0.0,0.0,12866999.0,1731636.94,2021-02-27 00:00
249,5320131.0,10748214.0,0.0,0.0,7572597.7,8495747.3,2021-02-28 00:00
250,13508679.5,31513851.0,1295076.4,0.0,14508414.5,31809192.4,2021-03-01 00:00
251,20788065.0,65246230.0,1779682.5,0.0,63181384.5,24632593.0,2021-03-02 00:00
252,7739428.8,16153924.5,1464892.9,0.0,8972842.3,16385403.9,2021-03-03 00:00
253,9753174.3,16698385.2,8677712.5,943493.25,30081637.75,5991127.5,2021-03-04 00:00
254,16748722.4,45365177.0,12192551.25,1742297.1,72797105.1,3251642.65,2021-03-05 00:00
255,11293151.0,29189957.0,6112453.9,0.0,21970750.9,24624811.0,2021-03-06 00:00
256,8256830.3,18252851.5,0.0,0.0,18762610.5,7747071.3,2021-03-07 00:00
257,10438910.9,42559996.0,1906469.0,1838949.6,50487822.6,6256502.9,2021-03-08 00:00
258,2678208.5,6646448.0,0.0,0.0,4320131.5,5004525.0,2021-03-09 00:00
259,3737644.06,9894938.1,0.0,0.0,12086838.5,1545743.66,2021-03-10 00:00
260,6998219.9,21249179.5,4589256.5,0.0,23915686.5,8920969.4,2021-03-11 00:00
261,3279600.72,9787231.94,961203.75,0.0,13018155.75,1009880.66,2021-03-12 00:00
262,15210452.5,65599042.5,17292676.0,1794386.9,96032638.9,3863919.0,2021-03-13 00:00
263,4721234.25,11355148.2,1766265.1,0.0,14648930.6,3193716.95,2021-03-14 00:00
264,4783800.6,12941758.2,0.0,0.0,14929676.2,2795882.6,2021-03-15 00:00
265,4101242.4,9730982.5,1059637.5,0.0,5193980.7,9697881.7,2021-03-16 00:00
266,3248010.8,7498996.8,1107248.6,0.0,8276102.8,3578153.4,2021-03-17 00:00
267,7178980.0,23062826.0,2823501.0,0.0,21478789.5,11586517.5,2021-03-18 00:00
268,13532757.8,67006074.5,9108057.0,0.0,86765595.0,2881294.3,2021-03-19 00:00
269,29939193.5,128853904.0,18129639.75,5478136.0,175545524.0,6855349.25,2021-03-20 00:00
270,36916141.5,122051478.0,18619172.0,1526625.5,159733525.5,19379891.5,2021-03-21 00:00
271,9984752.5,25537782.0,2798582.5,0.0,29588794.0,8732323.0,2021-03-22 00:00
272,4485948.4,11416128.7,963332.75,0.0,12220304.05,4645105.800000001,2021-03-23 00:00
273,13866507.2,29609252.0,4765842.0,0.0,40188794.0,8052807.2,2021-03-24 00:00
274,5333813.5,11528573.1,917449.8,0.0,14992655.3,2787181.1,2021-03-25 00:00
275,13040502.5,30075929.5,3142099.2,0.0,42799727.2,3458804.0,2021-03-26 00:00
276,6002314.3,16464392.0,3070126.0,0.0,4052796.8,21484035.5,2021-03-27 00:00
277,4557317.0,8485493.2,1959961.5,0.0,9085052.8,5917718.9,2021-03-28 00:00
278,7796580.5,16579422.5,5462907.0,0.0,20857933.5,8980976.5,2021-03-29 00:00
279,6167107.2,17261059.0,0.0,0.0,17499796.0,5928370.2,2021-03-30 00:00
280,7809821.56,23226886.6,940735.56,0.0,29750853.06,2226590.66,2021-03-31 00:00
281,4758519.699999999,10937466.2,1040630.5,0.0,11291028.8,5445587.6,2021-04-01 00:00
282,7634428.0,13973024.5,854500.0,0.0,8627205.3,13834747.2,2021-04-02 00:00
283,7133236.2,17857200.0,2756868.8,0.0,12987636.3,14759668.7,2021-04-03 00:00
284,6454394.8,21254466.5,2891836.5,0.0,6868267.3,23732430.5,2021-04-04 00:00
285,6400516.3,18233805.8,952548.5,0.0,21341044.0,4245826.6,2021-04-05 00:00
286,10796728.8,36097175.5,4205088.5,0.0,46641790.5,4457202.3,2021-04-06 00:00
287,6398799.1,18101301.8,0.0,0.0,20665549.0,3834551.9,2021-04-07 00:00
288,4668347.3,10221868.5,3398352.2,0.0,7336319.0,10952249.0,2021-04-08 00:00
