date,avg_gas_cost
2019-07-03 00:00,2513247206.4842000000
2019-07-04 00:00,5722763165.9802000000
2019-07-05 00:00,4410309582.3770000000
2019-07-06 00:00,1804467421.2370000000
2019-07-07 00:00,5340525166.5431000000
2019-07-08 00:00,2771653035.0569000000
2019-07-09 00:00,2414226230.9630000000
2019-07-10 00:00,8620956814.7334000000
2019-07-11 00:00,2643078877.3654000000
2019-07-12 00:00,2503734828.6957000000
2019-07-13 00:00,2688800948.2259000000
2019-07-14 00:00,3885666898.6070000000
2019-07-15 00:00,14473025344.4384000000
2019-07-16 00:00,8240956977.9987000000
2019-07-17 00:00,2416065167.0631000000
2019-07-18 00:00,6539253134.0608000000
2019-07-19 00:00,1799343398.4151000000
2019-07-20 00:00,1779817018.9257000000
2019-07-21 00:00,2011826309.5957000000
2019-07-22 00:00,2120922313.0900000000
2019-07-23 00:00,9495809533.0310000000
2019-07-24 00:00,9339565426.3139000000
2019-07-25 00:00,2421870584.2911000000
2019-07-26 00:00,2098616995.6511000000
2019-07-27 00:00,1746550817.2267000000
2019-07-28 00:00,2098530702.5352000000
2019-07-29 00:00,2161322357.1478000000
2019-07-30 00:00,2686257821.4447000000
2019-07-31 00:00,8285324753.3358000000
2019-08-01 00:00,4282820597.8853000000
2019-08-02 00:00,6925708213.7996000000
2019-08-03 00:00,1840230241.4814000000
2019-08-04 00:00,2385507680.9772000000
2019-08-05 00:00,2698426571.6794000000
2019-08-06 00:00,2530871812.1865000000
2019-08-07 00:00,2573658925.5190000000
2019-08-08 00:00,2596485979.1042000000
2019-08-09 00:00,1888876682.0223000000
2019-08-10 00:00,1907263507.0367000000
2019-08-11 00:00,2508570190.5561000000
2019-08-12 00:00,2203025972.4624000000
2019-08-13 00:00,2924024751.5620000000
2019-08-14 00:00,4222110695.1054000000
2019-08-15 00:00,2681251351.8159000000
2019-08-16 00:00,2017544201.3164000000
2019-08-17 00:00,2027654635.3798000000
2019-08-18 00:00,3654862334.2036000000
2019-08-19 00:00,4003128378.9658000000
2019-08-20 00:00,5140624794.8197000000
2019-08-21 00:00,4211770514.1414000000
2019-08-22 00:00,3824520269.5827000000
2019-08-23 00:00,3046107625.3164000000
2019-08-24 00:00,4426167198.4145000000
2019-08-25 00:00,6502400786.2144000000
2019-08-26 00:00,4303083885.3464000000
2019-08-27 00:00,3811967975.7816000000
2019-08-28 00:00,3910272923.7607000000
2019-08-29 00:00,3916929885.1193000000
2019-08-30 00:00,2947155228.0866000000
2019-08-31 00:00,3293597710.7652000000
2019-09-01 00:00,4880722686.6112000000
2019-09-02 00:00,5005591510.9542000000
2019-09-03 00:00,4732919008.3687000000
2019-09-04 00:00,6879572711.6641000000
2019-09-05 00:00,7665656228.1891000000
2019-09-06 00:00,7261698809.6675000000
2019-09-07 00:00,8132253754.8505000000
2019-09-08 00:00,9768345939.8053000000
2019-09-09 00:00,11526536142.8345000000
2019-09-10 00:00,10476223680.8372000000
2019-09-11 00:00,11672380139.2382000000
2019-09-12 00:00,10932857649.6035000000
2019-09-13 00:00,12037657357.9831000000
2019-09-14 00:00,12427645404.2351000000
2019-09-15 00:00,12252907985.3710000000
2019-09-16 00:00,15939169421.2260000000
2019-09-17 00:00,16599648625.8703000000
2019-09-18 00:00,17200129433.9184000000
2019-09-19 00:00,15618656874.5498000000
2019-09-20 00:00,9913994822.6223000000
2019-09-21 00:00,7183321434.5877000000
2019-09-22 00:00,12952856212.3398000000
2019-09-23 00:00,14558472442.7929000000
2019-09-24 00:00,17235787844.7851000000
2019-09-25 00:00,10792532452.1020000000
2019-09-26 00:00,12379986213.8788000000
2019-09-27 00:00,10886947941.9446000000
2019-09-28 00:00,9647839250.5277000000
2019-09-29 00:00,8027820749.2055000000
2019-09-30 00:00,2654687487.8077000000
2019-10-01 00:00,2443117853.8856000000
2019-10-02 00:00,3572005945.0348000000
2019-10-03 00:00,2527165555.6502000000
2019-10-04 00:00,2467315555.5675000000
2019-10-05 00:00,2194141870.6255000000
2019-10-06 00:00,2338820663.8295000000
2019-10-07 00:00,2534495447.9421000000
2019-10-08 00:00,2872404641.2671000000
2019-10-09 00:00,2635125821.6386000000
2019-10-10 00:00,2497912632.2079000000
2019-10-11 00:00,2146087516.0256000000
2019-10-12 00:00,2324119415.7267000000
2019-10-13 00:00,2591030953.3145000000
2019-10-14 00:00,2478453322.5335000000
2019-10-15 00:00,2444704866.0940000000
2019-10-16 00:00,2365628360.7162000000
2019-10-17 00:00,2552600289.8647000000
2019-10-18 00:00,3041075516.6753000000
2019-10-19 00:00,3823057998.1523000000
2019-10-20 00:00,3898728206.1438000000
2019-10-21 00:00,4062734957.5271000000
2019-10-22 00:00,4717868210.0183000000
2019-10-23 00:00,4254394907.4165000000
2019-10-24 00:00,4129907450.4536000000
2019-10-25 00:00,4094684820.3960000000
2019-10-26 00:00,3552129271.9122000000
2019-10-27 00:00,3741667644.4306000000
2019-10-28 00:00,3614328717.2692000000
2019-10-29 00:00,3715220893.4034000000
2019-10-30 00:00,3828954642.0293000000
2019-10-31 00:00,3470563866.6742000000
2019-11-01 00:00,2998684987.2316000000
2019-11-02 00:00,3024020602.2383000000
2019-11-03 00:00,3533277257.9454000000
2019-11-04 00:00,3926806897.1596000000
2019-11-05 00:00,3603321470.4496000000
2019-11-06 00:00,6424673695.1654000000
2019-11-07 00:00,3443245736.9879000000
2019-11-08 00:00,3188052864.6969000000
2019-11-09 00:00,3193373537.5534000000
2019-11-10 00:00,3721716715.0608000000
2019-11-11 00:00,3582961872.2255000000
2019-11-12 00:00,3747694037.3138000000
2019-11-13 00:00,3552468163.7670000000
2019-11-14 00:00,3580054366.4434000000
2019-11-15 00:00,3088396501.2421000000
2019-11-16 00:00,3085389098.0620000000
2019-11-17 00:00,3585407881.9829000000
2019-11-18 00:00,4197188898.1728000000
2019-11-19 00:00,3874813281.4948000000
2019-11-20 00:00,5462153148.1211000000
2019-11-21 00:00,9293754726.3985000000
2019-11-22 00:00,3290450234.4575000000
2019-11-23 00:00,3345365397.7574000000
2019-11-24 00:00,7985649184.5341000000
2019-11-25 00:00,6448276624.3890000000
2019-11-26 00:00,4461296271.5941000000
2019-11-27 00:00,4502026053.0053000000
2019-11-28 00:00,3991833319.5847000000
2019-11-29 00:00,3399454095.2396000000
2019-11-30 00:00,3855965099.4453000000
2019-12-01 00:00,3974590360.4031000000
2019-12-02 00:00,3499988242.3336000000
2019-12-03 00:00,4218888980.0162000000
2019-12-04 00:00,4002185277.4444000000
2019-12-05 00:00,4560483961.7141000000
2019-12-06 00:00,3602051177.3171000000
2019-12-07 00:00,2551612700.5045000000
2019-12-08 00:00,3350676696.2028000000
2019-12-09 00:00,3263545412.5708000000
2019-12-10 00:00,3309357009.0901000000
2019-12-11 00:00,3318786419.7108000000
2019-12-12 00:00,3487381677.5732000000
2019-12-13 00:00,2991194792.1471000000
2019-12-14 00:00,3088166592.3840000000
2019-12-15 00:00,3841897036.4409000000
