date,supply
2018-12-28 00:00,101778277.8744800000
2018-12-29 00:00,101795978.9057300000
2018-12-30 00:00,101813786.9057300000
2018-12-31 00:00,101831440.0307300000
2019-01-01 00:00,101849281.3119800000
2019-01-02 00:00,101866064.8119800000
2019-01-03 00:00,101882769.8432300000
2019-01-04 00:00,101899672.5932300000
2019-01-05 00:00,101916466.3119800000
2019-01-06 00:00,101933340.9369800000
2019-01-07 00:00,101950066.9682300000
2019-01-08 00:00,101966940.8432300000
2019-01-09 00:00,101983687.0307300000
2019-01-10 00:00,102000425.2494800000
2019-01-11 00:00,102017087.6244800000
2019-01-12 00:00,102034031.3432300000
2019-01-13 00:00,102050959.4994800000
2019-01-14 00:00,102067855.4057300000
2019-01-15 00:00,102084475.9682300000
2019-01-16 00:00,102101195.3432300000
2019-01-17 00:00,102118085.4369800000
2019-01-18 00:00,102135168.3744800000
2019-01-19 00:00,102151999.5932300000
2019-01-20 00:00,102167311.9682300000
2019-01-21 00:00,102182559.0932300000
2019-01-22 00:00,102197559.8432300000
2019-01-23 00:00,102212847.2807300000
2019-01-24 00:00,102228192.3744800000
2019-01-25 00:00,102243387.2807300000
2019-01-26 00:00,102258454.8744800000
2019-01-27 00:00,102273133.9682300000
2019-01-28 00:00,102287774.1557300000
2019-01-29 00:00,102302646.6557300000
2019-01-30 00:00,102317470.2182300000
2019-01-31 00:00,102332041.1244800000
2019-02-01 00:00,102346874.6244800000
2019-02-02 00:00,102361471.7807300000
2019-02-03 00:00,102376306.4994800000
2019-02-04 00:00,102391032.2807300000
2019-02-05 00:00,102405730.5932300000
2019-02-06 00:00,102420507.4682300000
2019-02-07 00:00,102435301.4994800000
2019-02-08 00:00,102450024.6557300000
2019-02-09 00:00,102462935.6244800000
2019-02-10 00:00,102475540.2182300000
2019-02-11 00:00,102488378.5307300000
2019-02-12 00:00,102500905.0307300000
2019-02-13 00:00,102513423.7494800000
2019-02-14 00:00,102525918.8432300000
2019-02-15 00:00,102538612.7807300000
2019-02-16 00:00,102551050.1244800000
2019-02-17 00:00,102563663.6244800000
2019-02-18 00:00,102576551.1557300000
2019-02-19 00:00,102589301.6244800000
2019-02-20 00:00,102602078.3432300000
2019-02-21 00:00,102614812.7807300000
2019-02-22 00:00,102627892.8744800000
2019-02-23 00:00,102640676.1557300000
2019-02-24 00:00,102653413.7807300000
2019-02-25 00:00,102666280.8744800000
2019-02-26 00:00,102679147.6869800000
2019-02-27 00:00,102691411.0307300000
2019-02-28 00:00,102703430.4057300000
2019-03-01 00:00,102716264.2807300000
2019-03-02 00:00,102729052.1557300000
2019-03-03 00:00,102741851.5932300000
2019-03-04 00:00,102754741.4682300000
2019-03-05 00:00,102767566.9682300000
2019-03-06 00:00,102780471.1557300000
2019-03-07 00:00,102793277.4057300000
2019-03-08 00:00,102806064.9682300000
2019-03-09 00:00,102819120.2807300000
2019-03-10 00:00,102831925.4057300000
2019-03-11 00:00,102844859.0932300000
2019-03-12 00:00,102857686.8432300000
2019-03-13 00:00,102870559.6557300000
2019-03-14 00:00,102883434.2182300000
2019-03-15 00:00,102896486.0932300000
2019-03-16 00:00,102909343.5307300000
2019-03-17 00:00,102922108.0932300000
2019-03-18 00:00,102934969.5932300000
2019-03-19 00:00,102947949.5932300000
2019-03-20 00:00,102960724.8432300000
2019-03-21 00:00,102973572.6557300000
2019-03-22 00:00,102986466.8432300000
2019-03-23 00:00,102999359.3432300000
