date,daily_block_reward
2016-08-18 00:00,325240.1203000000
2016-08-19 00:00,339859.2752000000
2016-08-20 00:00,337774.2691000000
2016-08-21 00:00,342094.4876000000
2016-08-22 00:00,333736.7140000000
2016-08-23 00:00,335814.8357000000
2016-08-24 00:00,344331.3947000000
2016-08-25 00:00,339985.4364000000
2016-08-26 00:00,342071.1138000000
2016-08-27 00:00,335092.6230000000
2016-08-28 00:00,330568.1410000000
2016-08-29 00:00,334851.9007000000
2016-08-30 00:00,351217.5269000000
2016-08-31 00:00,361732.0144000000
2016-09-01 00:00,369650.9912000000
2016-09-02 00:00,347183.6571000000
2016-09-03 00:00,352471.8139000000
2016-09-04 00:00,358306.8416000000
2016-09-05 00:00,348839.9502000000
2016-09-06 00:00,357911.4458000000
2016-09-07 00:00,344913.0024000000
2016-09-08 00:00,351713.7290000000
2016-09-09 00:00,349033.4834000000
2016-09-10 00:00,363121.9261000000
2016-09-11 00:00,358123.9687000000
2016-09-12 00:00,361972.9847000000
2016-09-13 00:00,366341.6872000000
2016-09-14 00:00,364103.0494000000
2016-09-15 00:00,373103.5790000000
2016-09-16 00:00,384538.9449000000
2016-09-17 00:00,359947.6115000000
2016-09-18 00:00,416156.3433000000
2016-09-19 00:00,422503.3719000000
2016-09-20 00:00,418333.7157000000
2016-09-21 00:00,369597.4435000000
2016-09-22 00:00,420790.6891000000
2016-09-23 00:00,382348.2308000000
2016-09-24 00:00,408567.9345000000
2016-09-25 00:00,380689.8878000000
2016-09-26 00:00,401117.6920000000
2016-09-27 00:00,407957.1109000000
2016-09-28 00:00,402275.1882000000
2016-09-29 00:00,400653.7349000000
2016-09-30 00:00,385058.0121000000
2016-10-01 00:00,406259.8693000000
2016-10-02 00:00,412383.7185000000
2016-10-03 00:00,410283.5654000000
2016-10-04 00:00,389717.2208000000
2016-10-05 00:00,383622.0130000000
2016-10-06 00:00,374963.0796000000
2016-10-07 00:00,382448.9795000000
2016-10-08 00:00,372622.5770000000
2016-10-09 00:00,359828.6173000000
2016-10-10 00:00,366599.0588000000
2016-10-11 00:00,356616.9365000000
2016-10-12 00:00,364850.6542000000
2016-10-13 00:00,364273.2266000000
2016-10-14 00:00,357878.1034000000
2016-10-15 00:00,364585.9126000000
2016-10-16 00:00,356884.7535000000
2016-10-17 00:00,398309.4064000000
2016-10-18 00:00,351195.9433000000
2016-10-19 00:00,383342.7580000000
2016-10-20 00:00,369222.3193000000
2016-10-21 00:00,365394.6154000000
2016-10-22 00:00,361417.2289000000
2016-10-23 00:00,364085.6994000000
2016-10-24 00:00,346179.4749000000
2016-10-25 00:00,354985.1709000000
2016-10-26 00:00,349163.9451000000
2016-10-27 00:00,334346.5174000000
2016-10-28 00:00,271860.1327000000
2016-10-29 00:00,318172.6103000000
2016-10-30 00:00,337683.6220000000
2016-10-31 00:00,314425.5049000000
2016-11-01 00:00,328571.8216000000
2016-11-02 00:00,328702.2191000000
2016-11-03 00:00,323372.0530000000
2016-11-04 00:00,331889.2519000000
2016-11-05 00:00,330658.7811000000
2016-11-06 00:00,343450.2685000000
2016-11-07 00:00,332368.8509000000
2016-11-08 00:00,319009.4916000000
2016-11-09 00:00,316495.4368000000
2016-11-10 00:00,315124.3002000000
2016-11-11 00:00,307443.1977000000
2016-11-12 00:00,317910.3503000000
2016-11-13 00:00,303835.5164000000
2016-11-14 00:00,307701.6928000000
2016-11-15 00:00,308369.7930000000
2016-11-16 00:00,294443.9748000000
2016-11-17 00:00,302671.6680000000
2016-11-18 00:00,298165.2424000000
2016-11-19 00:00,297995.8684000000
2016-11-20 00:00,291421.3598000000
2016-11-21 00:00,295436.6565000000
2016-11-22 00:00,290347.8386000000
2016-11-23 00:00,278376.1184000000
2016-11-24 00:00,293859.8577000000
2016-11-25 00:00,280332.8585000000
2016-11-26 00:00,275249.0669000000
2016-11-27 00:00,268744.6197000000
2016-11-28 00:00,245475.5523000000
2016-11-29 00:00,262281.3511000000
2016-11-30 00:00,255410.5757000000
2016-12-01 00:00,242391.2001000000
2016-12-02 00:00,241903.5171000000
2016-12-03 00:00,227576.7604000000
2016-12-04 00:00,218275.3309000000
2016-12-05 00:00,211980.5080000000
2016-12-06 00:00,242599.2700000000
2016-12-07 00:00,269189.9161000000
2016-12-08 00:00,261960.1064000000
2016-12-09 00:00,254457.4090000000
2016-12-10 00:00,250519.8309000000
2016-12-11 00:00,255225.7577000000
2016-12-12 00:00,254783.0410000000
2016-12-13 00:00,255346.0873000000
2016-12-14 00:00,240455.8128000000
2016-12-15 00:00,238100.1996000000
2016-12-16 00:00,232397.2221000000
2016-12-17 00:00,241893.8683000000
2016-12-18 00:00,233742.9269000000
2016-12-19 00:00,233625.8011000000
2016-12-20 00:00,241089.4913000000
2016-12-21 00:00,227522.7339000000
2016-12-22 00:00,216182.8599000000
2016-12-23 00:00,221207.5382000000
2016-12-24 00:00,222991.7712000000
2016-12-25 00:00,220495.6855000000
2016-12-26 00:00,217328.3200000000
2016-12-27 00:00,216083.5683000000
2016-12-28 00:00,252469.2864000000
2016-12-29 00:00,248341.1347000000
2016-12-30 00:00,240265.7807000000
2016-12-31 00:00,252373.5875000000
2017-01-01 00:00,247875.0790000000
2017-01-02 00:00,285164.3104000000
2017-01-03 00:00,333831.3333000000
2017-01-04 00:00,303244.2313000000
2017-01-05 00:00,309834.9202000000
2017-01-06 00:00,307377.1102000000
2017-01-07 00:00,308269.8763000000
2017-01-08 00:00,325628.4773000000
2017-01-09 00:00,320113.4085000000
2017-01-10 00:00,300900.0288000000
2017-01-11 00:00,292972.5851000000
2017-01-12 00:00,299577.5232000000
2017-01-13 00:00,292926.4580000000
2017-01-14 00:00,301938.7222000000
2017-01-15 00:00,296693.9209000000
2017-01-16 00:00,303624.0072000000
2017-01-17 00:00,307639.6276000000
2017-01-18 00:00,316791.0766000000
2017-01-19 00:00,316325.9029000000
2017-01-20 00:00,329991.9916000000
2017-01-21 00:00,326805.5840000000
2017-01-22 00:00,327679.8009000000
2017-01-23 00:00,320996.8535000000
2017-01-24 00:00,317472.8733000000
2017-01-25 00:00,322508.4563000000
2017-01-26 00:00,315865.5881000000
2017-01-27 00:00,319606.9515000000
2017-01-28 00:00,313816.8629000000
2017-01-29 00:00,320939.3022000000
2017-01-30 00:00,321332.5687000000
2017-01-31 00:00,320110.5065000000
2017-02-01 00:00,323613.4463000000
2017-02-02 00:00,326193.7258000000
2017-02-03 00:00,350052.9994000000
2017-02-04 00:00,346705.6604000000
2017-02-05 00:00,347112.4311000000
2017-02-06 00:00,346657.7472000000
2017-02-07 00:00,345222.9443000000
2017-02-08 00:00,325967.6756000000
2017-02-09 00:00,334347.0504000000
2017-02-10 00:00,340923.4998000000
2017-02-11 00:00,344691.7546000000
2017-02-12 00:00,342568.8641000000
2017-02-13 00:00,380812.0059000000
2017-02-14 00:00,392837.1430000000
2017-02-15 00:00,390668.8293000000
2017-02-16 00:00,387331.1925000000
2017-02-17 00:00,383628.7057000000
2017-02-18 00:00,386269.4195000000
2017-02-19 00:00,385279.9252000000
2017-02-20 00:00,386550.8105000000
2017-02-21 00:00,377996.5878000000
2017-02-22 00:00,385185.3214000000
2017-02-23 00:00,397760.6193000000
2017-02-24 00:00,412021.1458000000
2017-02-25 00:00,416166.8860000000
2017-02-26 00:00,439049.5443000000
2017-02-27 00:00,471024.3920000000
2017-02-28 00:00,472590.4198000000
2017-03-01 00:00,570732.9232000000
2017-03-02 00:00,569007.3804000000
2017-03-03 00:00,586477.9579000000
2017-03-04 00:00,587847.2563000000
2017-03-05 00:00,592486.1920000000
2017-03-06 00:00,569850.7008000000
2017-03-07 00:00,530684.7952000000
2017-03-08 00:00,513154.2308000000
2017-03-09 00:00,544748.0676000000
2017-03-10 00:00,602803.6901000000
2017-03-11 00:00,658671.3033000000
2017-03-12 00:00,907805.5190000000
2017-03-13 00:00,841056.6673000000
2017-03-14 00:00,921443.5750000000
2017-03-15 00:00,1223616.6452000000
2017-03-16 00:00,1453062.0950000000
2017-03-17 00:00,1090640.7788000000
2017-03-18 00:00,1199030.2052000000
2017-03-19 00:00,1384019.8791000000
2017-03-20 00:00,1313784.8246000000
2017-03-21 00:00,1203379.5728000000
2017-03-22 00:00,1238718.2692000000
2017-03-23 00:00,1412881.0772000000
2017-03-24 00:00,1480559.2073000000
2017-03-25 00:00,1489698.7256000000
2017-03-26 00:00,1517094.7479000000
2017-03-27 00:00,1489091.6061000000
2017-03-28 00:00,1582858.1869000000
2017-03-29 00:00,1561955.2425000000
2017-03-30 00:00,1431092.1935000000
2017-03-31 00:00,1518903.1107000000
2017-04-01 00:00,1452284.5128000000
2017-04-02 00:00,1377642.5026000000
2017-04-03 00:00,1343507.3109000000
2017-04-04 00:00,1413961.6580000000
2017-04-05 00:00,1324503.1961000000
2017-04-06 00:00,1270265.2299000000
2017-04-07 00:00,1345286.7521000000
2017-04-08 00:00,1257261.4476000000
2017-04-09 00:00,1228565.7037000000
2017-04-10 00:00,1273159.7187000000
2017-04-11 00:00,1264525.9353000000
2017-04-12 00:00,1468775.2416000000
